,comment,info
0,"頭には物事を判断する機能はないと思っている。あくまで個体の機能をより効率的に発揮する為に必要な知識を貯蔵する書庫の様なモノであり、事の判断は肚の仕事だ。その肚は臍下丹田に在り、宗教的に表現するならそこが人を生かす神のお社になると考える
。書庫である頭が大切な判断を肚に委ねず、自己判断で言動した為に転落した方は実に多い。彼女の場合は嬉しい事に恐らくだが個的、物質欲は無く、無意識的導きに委ねる数奇な存在なのだろうと思う。",url: https://news.yahoo.co.jp/articles/fe8e6707c4eea6862578ea75299d11ee124e278b/comments?page=3&t=t&order=recommended
1,人種差別反対には異論はない。しかし、本人もマスコミも、両親が日本で受けた差別に関していっさい触れないのは何故かな？,comment num: 36
2,"前テレビかネット画像で見た時、
日本人のお母さんすごく小さくて(150センチくらい？)、娘が180センチまで成長することに驚きました！
お父さんが190センチ以上とか？と思ったけど、お父さんもそこまで巨人じゃない。
この家族写真見てなおみ選手ほんと大きい。

アメリカでハーフの子供いっぱい見て来だけど、お父さんが大きくても日本人母親がみんな小さめなんで、娘さん達はせいぜい大きくて170あるかないかばっかり。

大坂なおみ選手って本当体格に恵まれたよね。

これくらい大きくないと世界で戦えないと思いました。",
3,スポンサーを多く取得するためだけの日本代表ってみんな分かり切ってる。,
4,テニスプレイヤーは彼女を表す一つの側面でしかなかった。と言い伝えられるような人になるポテンシャルを感じる。,
5,このコメント欄、江戸時代みたいで驚く。私は彼女大好き。,
6,おかあさんにそっくりだな,
7,正直無理くり日本人選手枠に入れる必要ないと思うけどな。この時代のベストプレーヤーの一人として人気もあって尊敬されてる、それで十分じゃない？インタビューの少し天然入った受け答えといい愛嬌もあるニューヒロインだよね。お母さんどんな顔なんだろって写真拡大したら俳優の六平さんそっくりだった。。,
8,おそらくアメリカ人になるであろう人を、「日本の誇り」として一生懸命持ち上げる。,
9,"何人かの好きな選手のなかに大坂なおみがいる。それだけ。
フェデラーやハレプの国籍なんか気にしないように大坂の国籍が
どこであろうが大坂のテニスが好き。",
10,"頭には物事を判断する機能はないと思っている。あくまで個体の機能をより効率的に発揮する為に必要な知識を貯蔵する書庫の様なモノであり、事の判断は肚の仕事だ。その肚は臍下丹田に在り、宗教的に表現するならそこが人を生かす神のお社になると考える
。書庫である頭が大切な判断を肚に委ねず、自己判断で言動した為に転落した方は実に多い。彼女の場合は嬉しい事に恐らくだが個的、物質欲は無く、無意識的導きに委ねる数奇な存在なのだろうと思う。",
11,人種差別反対には異論はない。しかし、本人もマスコミも、両親が日本で受けた差別に関していっさい触れないのは何故かな？,
12,"前テレビかネット画像で見た時、
日本人のお母さんすごく小さくて(150センチくらい？)、娘が180センチまで成長することに驚きました！
お父さんが190センチ以上とか？と思ったけど、お父さんもそこまで巨人じゃない。
この家族写真見てなおみ選手ほんと大きい。

アメリカでハーフの子供いっぱい見て来だけど、お父さんが大きくても日本人母親がみんな小さめなんで、娘さん達はせいぜい大きくて170あるかないかばっかり。

大坂なおみ選手って本当体格に恵まれたよね。

これくらい大きくないと世界で戦えないと思いました。",
13,スポンサーを多く取得するためだけの日本代表ってみんな分かり切ってる。,
14,テニスプレイヤーは彼女を表す一つの側面でしかなかった。と言い伝えられるような人になるポテンシャルを感じる。,
15,このコメント欄、江戸時代みたいで驚く。私は彼女大好き。,
16,おかあさんにそっくりだな,
17,正直無理くり日本人選手枠に入れる必要ないと思うけどな。この時代のベストプレーヤーの一人として人気もあって尊敬されてる、それで十分じゃない？インタビューの少し天然入った受け答えといい愛嬌もあるニューヒロインだよね。お母さんどんな顔なんだろって写真拡大したら俳優の六平さんそっくりだった。。,
18,おそらくアメリカ人になるであろう人を、「日本の誇り」として一生懸命持ち上げる。,
19,"何人かの好きな選手のなかに大坂なおみがいる。それだけ。
フェデラーやハレプの国籍なんか気にしないように大坂の国籍が
どこであろうが大坂のテニスが好き。",
20,"彼女の容姿、話す言葉、雰囲気を見て
日本人と思えという方が難しい、との意見もあると思う。
今回のBLMについての意思表示も
賛否はあると思う。
テニスプレイヤーとしても、まだこれからという部分もあるかも。

そういうのを色々ひっくるめて
彼女は真摯にテニスに向き合って結果も出している。
その姿は理屈抜きで魅力的であり
応援したいと素直に思える。",
21,アメリカは多民族国家なので、どの文化・どの人種にルーツを持つかを常に問われる。実際に住んだことが無くても、両親の文化にルーツを感じるのは、決して珍しい話じゃない。変化が必要な時代に彼女のような人物が出て来たのは非常に象徴的で、日本に新しい風を呼び込み、世界にも新しい日本人像を示してくれるといいと思う。,
22,"男の見る目は養えなかったか。

付き合った相手に毎回流されるようじゃ一流からは、そのうち落ちる

今の彼氏との結婚後はアメリカ国籍取得する可能性だってあるし、多様性のアメリカでのし上がるより日本でなら知名度はすぐあがるから日本国籍を利用しただけに見える。
日本が好きで日本人ならばなぜ日本人の男を選ばなかった？そこが違和感。ま、日本人でも国際結婚は多いから好きになった相手が日本人じゃなかっただけだな、他国（付き合った相手）に流されるような精神は日本人特有だな。
彼氏に日本国籍取らせるくらい、日本を愛してくれ。
彼氏に流されないでくれ。

日本人である間に他国の政治のことをスポーツに持ち込む精神は日本人には無かったから、控え目な日本人にしては珍しいだけでしょ。
結局中身は日本人では無いってことになりかねん行動を取りつつある",
23,まぁ何人か決めるのは国籍だから、日本の法律の要件満たしてれば日本人でしょ。もし日本人がアメリカで迫害されて銃殺されてたら、アメリカ在住の日本人も抗議運動するだろうし、それが彼女にとってはもう一方のルーツの黒人だっただけでしょ。アメリカで暮らしてれば、彼女や家族も被害者になる可能性もあるから他人事じゃないしね。,
24,アメリカ人として頑張って,
25,"日本人ちゃうやん…。

日本を踏み台にしてるやん！

日本国籍返上して、アメリカ人になりはったらええねん！",
26,"白人に殺された黒人のマスクの数だけ試合に勝つよう頑張ってください。
まさか、にわかで、７枚で終わりじゃないですよね？",
27,なおみの顔はママ似じゃん。,
28,"もう、この女の話題はたくさんだよ！
むかつく！！",
