,comment,info
0,日本人の私としては、アジア人への差別を経験した事があります。普段車通勤なので、乗り馴れてない雰囲気でバスに乗れば、運賃をぼったくられるし、そもそもアジア人の名前の履歴書は刎ねられると聞いた事があるので親日派のオーナーの現在の職場以外 何処にも引っかからなかったのも納得出来る。だから大阪ナオミが何らかの経験を重ねて育って来て、自分が何であるのかについて、誇りたくて立ち上がるのは、自分と何より両親を励ましていると思う。そう言うメンタルなんだろうなと思うから、私の白人の旦那がテレビでこのニュースを見て「鬱陶しい」と言っても、「何遍も聞いたかもしれないけど、お前には分からんよ」と言う。若い、自分の子供と歳が違わない子が「私は自分のレースに誇りを持ちたい」と言ってくれたら、自分も子供にそう言って貰えた気になって胸が熱くなります。ただ、警官は尊敬しているので、それに楯突くのは反対だけれど。,url: https://news.yahoo.co.jp/articles/3bbe0cc9b08ce8ca5973e071b3e779318216e8cf/comments?page=7&t=t&order=recommended
1,"別に抗議活動自体は批判してないでしょ
ただその表現の方法として
棄権が適切か否の賛否があるだけで
そんな声を曲解して
「日本人は差別に疎い国民」などと
断罪する方が差別的だと思いますね

それと
何でもかんでも「世界的流れ」と言うが
世界の流れが必ずしも正しいとは限らない",comment num: 
2,"彼女はそもそもボイコットするって言ってないらしい。この大会をこのままやってよいのか？ということを大会関係者に伝えたという話。バスケットも試合止めているしってことらしい。
アメリカでは当然のこと。とにかく言ってみる。それがアメリカ。主張しなければもっと怖いことになる。",
3,"彼女の前に、NBAでバックスがボイコットを発表し、結局その日は全試合キャンセルになったが、政治をスポーツに持ち込むなと怒るファンもいましたよ

ジャージの後ろにメッセージを入れていいということになり、Black Lives Matter とか、Equality, Justice Nowなどメッセージを入れるプレーヤーが多い中、スポーツに持ち込むのは違うとメッセージを入れないプレーヤーもいる

これは個人差がありどちらが絶対的に正しいというものでもない。ただ片方の声が大きいだけ。批判をする日本人は人種差別をしているというのは乱暴すぎますね。

ナオミちゃんの場合、彼女のアイデンティティに関わることだし、スポンサーのナイキが人種問題を取り扱うのが好きだからゴーサインは出てるだろうし、セリーナや周りもそうだから、お膳立ては整っているという印象",
4,小島さんのこの批判こそ実に不快に感じます。件の選手の行為を絶賛する人もいれば何か抵抗感が残る人もいるでしょうし、各人がそれを裏付ける理屈や情緒というものを持っていると思います。それは悪意が有るか無いかで賛否が分かれているものではないと思います。にもかかわらず、私はこう思うので賛成あるいは反対というのではなく、自分の意見と異なるものを一括りで「批判は的外れも甚だしい」などと、さも自分の意見こそ善であるように公言するのはどうかと思います。我々のような無名の一個人であれば何の影響力も有りませんが、一応名前も顔も知れ渡っている人ならそういった面にもっと気を配るべきだと思います。,
5,"表面的なことしかみえてませんねーこの方は。
この事件の背後にあるものをよく調べてから
的外れとか甚だしいとかの言葉を使われたがいいと思います。",
6,"正直なところ、記事は薄っぺらく、あまり意味の無い内容。

それはさておき、BLM語る日本人にはALMについて語ってほしい。
欧米でアジア人へのヘイトや差別は、日本と比較にならないくらい
未だ根強く残っている。それを無視してBLMしか語らない人は信用できない。",
7,"日本の人種差別は根深い?

何を言うか。
日本がなかったら人種差別はもっと酷いことになっていた。
かつて日本は人種平等の為に第二次世界大戦を戦った。
パリ講和会議で日本は人種平等を訴えた。
日本からは牧野伸顕らが出席したが、
直接パリに向かわずアメリカに寄って人種差別の現実を視察してからパリに行った。
結果は否決されたが世界中の白人を敵にまわした。
当時アジアは殆どが白人の植民地にされ、
アジアで植民地にされていなかったのはタイと日本だけ。
中国が白人に寝返り日本がアジアを代表して戦った。
第二次世界大戦では敗けはしたが、
相当な犠牲を払いながらも人種平等、アジアの解放は守った。
万人が望む平等にはならなかったけど、
それでも日本がなかったら人種差別はもっと酷いことになっていた。

これ以上日本にどうしろと。
人種差別を日本の責にしないでください。",
8,差別問題に抗議するためにテニスの大会をボイコットする（本人はボイコットしていない。主催者側が1日延期を先に決定したのだという報道もあり、どちらが本当かわからないが）のが正しい行為だと思っている人は思えばいいが、そう思わない人も多数いるということです。「的外れも甚だしい」ということは、多様な意見を認めないということにもなるので、表現には気をつけたほうがいいと思います。世界的に影響力がある人だから意思表示をする必要があるというのはよく分かりますが、別の方法でしてほしかったと思う人もいるでしょう。大好きなミュージシャンが黒人差別に抗議するといって予定されていた公演をキャンセルすれば、私なら落胆しますし、ドタキャン行動に賛同もしません。でも、それで良しとする人が大勢いるなら、それは勝手です。賛同する人の思いを「的外れも甚だしい」とは表現しません,
9,"自分も正直スポーツに政治を持ち込むのは如何なものかと思ってしまう
試合に関係のないところでならいくらでも言えばいいしそれは個人の自由だから
例えば試合で審判の判定が明らかに白人寄り、黒人不利みたいなものであったり観客が差別的なヤジなどをする場合は抗議の意味を込めて試合をボイコットっていうのもわかるけど自分のプレーやその競技とは違うところで起こった事でボイコットなどの行為は大坂選手やNBAのチームとか関係なくあまり意味のある事には正直思えない",
