,comment,info
0,"やっぱりヘンリーさんに愛はないみたい
いいのかヘンリー（笑）
利用するならもう少し大事にしてっていうかそう見せる努力もしないと
女優じゃのし上がれないからロイヤルってヤツですか
何かを成し遂げたいんじゃなくただただ有名になりたいだけじゃ人はついてこないでしょうね",url: https://news.yahoo.co.jp/articles/6b7a14646605c8e3f33cebd0fabecc68ba468634/comments?page=20&t=t&order=recommended
1,"イギリス王室って世界中から注目されちゃうから、こういう変なのが寄ってきちゃうんだろうね。
間違いなく彼女は、ダイアナ妃よりもイギリス国民の記憶に残りますよ。黒歴史として。

キャサリン妃を選ばれたウィリアム王子は、
本当に人間ができてる。",comment num: 
2,メーガンの上昇志向はすごいな。そのとめどない上昇志向こそ、氏育ちが悪い証拠だと思う。成り上がり人生。欲の塊。悪いけど、親見てびっくりした。,
3,"目立ちたくなくて王室離脱して一般人になった、はずなのに、ことごとくカメラ目線でキメキメで写ってたのが腑に落ちるね…

服とか外側だけ真似っこしたところで、中身も生まれ育ちも違いすぎて無理よ。
それにしても野望が激しすぎて笑うしかない。",
4,"メーガン、精神的に狂っています。
メーガン英国王室を引っ掻き回しただけで無く、アメリカで付き合うセレブ達と一時は仲良しになるが、メーガンの傲慢さがアメリカセレブの傲慢さを超えてハイパーとなり、絶えず揉めて嫌われる・うっとうしい存在となるだろう。",
5,"そんな野望など持たなくても、メ一ガンさんは立派にダイアナ妃よりもビッグです。
態度のでかさ、厚かましさ、横柄さ、育ちの悪さ、冷酷な人間性、どれをとっても見事にダイアナ妃を圧倒しています。
最も、人としての一番大切なものでは、比較にも値しませんが。
ダイアナ妃の映像や記事は、今でも見たいと思うけれど、作り物のメ一ガンさんのものなど見たくもない。
他人を使って自分をよく見せようなどと小細工はせず、堂々と実力でダイアナ妃を超えてもらいたい。まあ、メ一ガンさんには逆立ちしても無理だけど。",
6,いやいや、ただ単に自分の野望を正当化する為にダイアナ妃の名前持ち出しただけでしょ。他人を利用してのし上がってきた女と貴族出身のダイアナ妃になんの共通点もない。同じような生き方も価値観もない。よくこんな見えすいた嘘を言えたもんだと思う。もしメーガンが本当にダイアナ妃に憧れていたなら、もっと上品で慎ましく生きる努力してると思うし、ハリウッド目指してアメリカになんかいないと思う。,
7,"「世界で１番綺麗なのは誰？」
と聞いている魔女のようなイメージを持ちました。
ダイアナを尊敬しているように思えない。そして、ダイアナを充分に研究していたのにハリーに初めて会った時はあまり知らないフリをしていたんですよね。メーガンは怖い人だ。",
8,"ダイアナ元妃よりビッグになりたいとか、
世界で最も有名な女性になりたいとか、
それは第三者に依頼する物ではありません。

ほんとに魅力のある人は自然とそうなるのです。
そうなろうと画策してる時点でムリなのですよ、メーガンさん。",
9,"ダイアナさんとは格が違うし人気の次元も違う。
超えるとかいう発想はやめて下さい。",
