,comment,info
0,"セーラームーンの髪の色は公式設定として黄色。しかも当初は銀髪予定だったのを、漫画のカラー映えのために黄色に変更した。アニメの肌の色だって普通に色白日本人のものだよ。
強引に白人優越主義にからめるなんて侮辱もいいとこ。",url: https://news.yahoo.co.jp/articles/7bac7653c14193a7950c7c6d7da1f568be90ad7b/comments?page=13&t=t&order=recommended
1,"アメリカ在住ですが。

鎌田さんのおっしゃる
『「モデルマイノリティ」として振る舞おうとする。そのこと自体が黒人差別だと私は考える。』

ちょっと勘弁してくださいよー！モデルマイノリティーとして振る舞おうとしてるんじゃないんですよ、品行方正に生きていく、ていう日本人の国民性、もしくはアジア人各国の国民性からきている言動を「差別」って捉えるの、本当にやめて欲しいです。
差別主義者でもない、フェアーに生きている人間まで「差別主義者」のレッテル貼って、鎌田さんみたいな人達が差別を作り出しているってこと、いい加減気がつきませんか？

コロナがアメリカで広まり始めた時、たくさんのアジア人が黒人から暴力を受け、暴言を吐かれた件は無かった事になっているんですか？そういう勉強をされているのであれば、もっと公平な目で、事実を見て欲しいです。あなたの考えは、見たいものだけしか見ないで批判しているだけです。",comment num: 138
2,"鎌田さん!

失礼だけどアメリカに長年居ながらアメリカの州法を存じないの!?

酒類を提供するバーやパブ等では「必ず」運転免許等州が認めた有効な写真付身分証明書が必要なんですよ。

もし、不所持又は提示拒否又は無効な証明書提示の場合、店側は入店拒否出来る。

これはもし発覚の場合、店側が処罰され、最悪、営業許可が更新されなくなるから。

更に悪質と判断されると経営者が逮捕され未決囚として、Jailに収監される。

またアジア系警官と言っても、アメリカ人なのだから日本とか関係無いでしょうよ!?

変な屁理屈をやめて欲しいし、煽動しないでくれ!

UCLA Law School　修了生より",
3,"単純にカッコいいな、綺麗だな、と思うことも、肌の色が白人と有色人を均等になるように讃えないと差別なのか？
人種に拘らず、素敵な人は素敵なんだから、変な平等圧力をかけて違和感のある作品だらけにしないで欲しい。",
4,"知ってる？第一次世界大戦後のパリ講和会議で世界初の人種的差別撤廃提案したのは日本。
それを握りつぶしたのはアメリカ。
戦前、黒人解放の指導者として活躍するもFBIに捕らえられ歴史から消された中根中。

主語を思いっきりでかくして加担とか言わないで貰えますか。",
5,"基本的にはアメリカの国内問題といえるものを日本の問題にしないで欲しい。

もちろん、黒人差別の問題は人道の問題でもあるから解消すべき問題ではある。そういった人類的正義の話であると同時に、私たち今より先に日本人が人道的問題で困難を抱えたとき国際社会から助けてもらえるように、黒人差別解消は「情けは人の為ならず(巡り廻って自分のためになる)」という種類の日本人の功利的問題でもある。とはいえ、黒人奴隷制度に由来する差別問題はアメリカやヨーロッパが起こした問題だ。

筆者がいうように、アメリカの東アジア系移民(日系・中華系・韓系)の子孫がモデルマイノリティだ、というのはそうだろう。とばっちりを受けて黒人が不当に低くアメリカ社会で評価されてしまう面もあるだろう。だが、それは「黒人差別に日本の私たちも”加担”している現実」というような強烈な表現で日本が非難されるようなものか？",
6,"誤解を恐れず言えば、人間生活は差別心の上に成り立っている。

極論、結婚というシステムにしても容姿や性格で他人を選別し、それを選ぶ行為は差別そのものであろう。

問題なのは差別心ではなく、それを攻撃的な言葉や行動に移してしまう幼稚な精神なのだ。

差別心を発露し、他者を攻撃するという行動はすなわち「いじめ」と同じシステムである。

これは人類全体の根源的な問題であり、「黒人差別問題」とするのは偏った方向に矮小化させているだけである。",
7,"太平洋戦争時日本軍がベトナムをあっという間に陥落させ痩せた日本人がフランス人捕虜を扱っているのを見てホーチミンはアジア人でも白人に勝てると思ったという。
その後ベトナムは米国に勝利した唯一の国となったが植民地になっていた国は特に白人優越主義を感じ取っていたかもしれない。

有吉佐和子の「非色」、色に非ずの通り人より優越であると安心する意識も働くのだろう。日本では外国人は居心地が悪いと感じているようだし人はマウントを取りたがるものだ。
BLMについては日本は慌てず騒がず静観でいいと思う。",
8,"金をその店で使わない(酒を飲まない、金を払わない)から、追い出された。有効な証明書を提示しないから、追い出された。
鎌田さん、この二つが本当の理由。白人でも追い出される。マネージャーは従業員みたいに気楽にはいかない。法律に違反して刑務所行くのもマネージャー。
州によっては、日曜は酒を売らない、酒は紙袋に包んで売る、飲酒運転で人が死ねば殺人、個人宅で酒を勧めて客が死亡事故を起こせば殺人ほう助。
アメリカは酒には厳しいお国柄なのは昔から変わっていないのに、知識がなさ過ぎる。",
9,"東アジア系だけでなく、インド系など南アジア系も最近モデルマイノリティと認識されている。マイクロソフト、google、adobeなど、テック企業はインド系CEOは多数いるし、zoomなど中国系も増えてきた。アメリカのトップの大学はアジア系が人口構成比よりも多い割合が占め、企業の採用には有利と言われている。私の勤める企業でもアジア系の割合は白人を除くと突出して多い。給料を人種間で比較したとき、白人女性よりもアジア系女性の方が高い。バンブーシーリングは存在しなくなっているというのが最近の定説だ。
差別らしい差別を受けることも少ないので、他の人種が受ける差別に共感しにくいのかもしれないけど、それでもBLMを訴えるアジア系もたくさんいる。歴史を学んで差別の対象となる人に寄り添うことはできる。
ちなみに、バーでは写真付きIDで生年月日を証明できないと入れないのは当たり前なので、あれは差別とは言い難い。",
