,comment,info
0,"いやまぁブラックがホワイトへの反感があるのは分かるし、アメリカでのデモは分かる

ただ、ブラック(とホワイト)がイエローを差別している事実もあるなか、
自分達だけが一方的に差別されている側という意識はよろしくない。

国の気質が合わないのであれば、お里へお帰りください。
こちらも気の合う隣人となら仲良くできますが、癇癪持ちはご遠慮願う。",url: https://news.yahoo.co.jp/articles/dc572d8ecbf2bd84b870ff9e32ad96ba7726f100/comments?page=25&t=t&order=recommended
1,アメリカでデモするなり、アメリカ大使館にならわかるが、日本でやる意味がわからない。日本は島国で閉鎖的で人種差別はあるが、警察の人種差別による権力の横暴に対して日本でデモしても、一体誰に伝えたいのか。もちろんこの問題は大きいし、アメリカに住んでたら白人以外は警察の権力の横暴さなんか誰もが経験するくらい酷いものだ。流れにのっかってお祭り騒ぎのようにデモするなり、他国の問題には首を突っ込む前に、自国の問題に目を向けて解決しようとデモでもしたらどうなのか。,comment num: 258
2,"国連議会の場で、初めて　｢人種差別撤廃｣　を提唱した国はどこでしたっけ？

我が日本です。
国民の皆様、自国の歴史を、もっと知りましょう。
きっと、｢日本もマンザラ、悪い国じゃあないぞ｣　　そんな気がするかも？

左派野党、偏向マスコミに囚われず、中立的、且つ、大局的に物事を洞察したいものです。",
3,群衆が威圧的すぎて怖い。共感できないばかりか、排他的な気持ちが湧き上がるのを抑えられない。,
4,デモを否定するつもりはないけど、これが原因でコロナがまた広がったら全部逆効果になるだけだと思うな…,
5,"「黒人の命は大切だ」その通りです、しかし世界で広げるならデモの前に「商店などを破壊するような行為は絶対やめましょう」と厳しくルールを作って始めてほしい。
そうしないと共感ではなく反感になる。
命は一番大切だが、コロナで傷んでいる店を壊された人たちも大切な国民です。",
6,ここは、1919年のパリ講和会議時点で世界史上初の人種差別撤廃を提案していた日本ですが。,
7,日本は移民を認めてはならないという思いを深くする。宗教観、人生観を初め、日本は他国とは相当異なる。政府は人口減少に対する施策をもっと積極的に推進しなければならない。,
8,日本でやってなんか意味あるのか？まあ表現は自由だから別に許可とってデモやるぶんには構わないと思うんだが、感染予防はちゃんとやっておいてほしい。見た感じ人数も大したことないしマスクしてるけど、ソーシャルディスタンスをちゃんと守ってデモしてくれ。あと手洗いもしてくれ。,
9,"世界で起きてると言う主張はそうかもと思うけど、
日本で起きてるの？
日本人は欧米に行っても差別されるでしょう。
変な記事だね。",
