,comment,info
0,"面倒くさいことからは逃れ、楽しいことだけ参加する。小学生かよ。
嫁さんのせいではなくこの人個人の責任感の欠如が招いた問題。いい加減イギリスに関わることは諦めなさいよ。",url: https://news.yahoo.co.jp/articles/f4fb222778c46b57965b495a438e9b7a1e2a4097/comments?page=4&t=t&order=recommended
1,自分はまだ必要とされていると思っているのか。あれだけイギリスを裏切っていることすら自覚ないし、嫁の暴走を止めることも出来ず、逆に便乗して、のほほんと他人の家で暮らしてる。すべて他力本願で。そんな彼を誰が必要しようとするのか。ホントにおめでたい人だ。ハリーの記事を読むたびにウィリアム王子をはじめ王室の方々に同情する。,comment num: 48
2,"当たり前の反応ですよね。

英国民にとったら英王室に後ろ足で砂かけた人に逃亡先USから未だに国の代表の様に""イギリス精神""語られたら腹立たしさしか無いと思います。

ハリーは長年支援してきた慈善団体等にも今でもサポートしているって、、、情けで名前だけ置いてもらっている状態何じゃないですか?
何か事ある時だけ顔出して、実際に関わっている人達は迷惑かも。

いい加減ハリー自身、今までの王族として崇められていた存在ではない、""王子""としての価値はもうすでに無い、という事に気付かないと...。

自由求めてるんでしょ?",
3,"ヘンリーさんは離脱してもイギリス国民から必要とされる存在でいたいし、繋がりを持ち続けたい気持ちが強いのだと思います。

実際LAにいますし、残念ながらイギリス国民はヘンリーさんを必要としていない。
王室時代からパトロンとして支援してきた団体に、気が向いた時だけ関わるとか止めた方がいい。
公務の真似事をいつまでも続けるのはちょっと...

どうしても関りを持ちたいなら、個人的に裏で支えるぐらいの方が良いのでは。",
4,若くて可愛いイギリス人はいくらでもいたはずなのに、自ら離婚歴がある外国人のおばさんを選んだのだから…,
5,"度々思うんだけど、このおじさんや奥さんがやってるという「サポート」「支援」ってつまるところ具体的に何なの？
記者もしょうがないから濁して書くしかないの？",
6,"ウェールズ人とスコットランド人は全く気にしていないか、もしかしたら同情してるかも。
「ウェールズはウィリアム王子、スコットランドはアン王女がパトロンでよかったわ。イングランド・・・かわいそ」って。

 ハリーはとりあえず‛アメリカ➝イギリス(イングランド）’の発信はやめた方がいいんじゃないかな。",
7,"ヘンリーさんは自分が関わることで感謝され、ありがたがられると思ってる。
世間が自分たち夫婦をどう見てるか全く分かってないね。",
8,"王族は発言に慎重であるべきなのです。軽々に思想を述べるのは難しい。特にヘンリーさんは王室から離れ、アメリカ人の妻とロサンゼルスに住んでいるのですから。

ヘンリーさんのことをおバカと思っているイギリス人は多いだろうけれど、口出しされたファンはもっと不愉快だろうね。なんにでも口を出すメーガンさんは王室には向かない人なので、本当にヘンリーは浅はかな結婚をしたと感じます。",
9,"唯一の彼のキャリアだった軍からもその存在を消された今、彼にとっては、今までの繋がりのあるところが全てなのだろう。
しかし、いい年の大の大人がいつまでも未練がましくしがみつくなどせず、すっぱりと関係を絶ち切り、新天地アメリカで新たな道を歩むべきだろう。
それが、今までの信頼も国も国民も捨てた大人の、責任の取り方のように思える。",
