,comment,info
0,決勝まで進まないと用意した7枚すべてのマスクを付けられなかったことがモチベーションになったようだ。素晴らしい。彼女が日本国籍を選択してくれたことに感謝したい。,url: https://news.yahoo.co.jp/articles/666eff8e9560af81b6930c825b85f7d43651e209/comments?page=6&t=t&order=recommended
1,勝ち進むことによってメッセージは強くなった。,comment num: 66
2,"今回のマスク着用、とてもインテリジェントな方法だと思います。
最初の頃はデモを、とツィッターとかで発信してましたが、それでは本当の意味での問題定義にならないとか、いろいろ考えたのだと思います。

静かに問題定義することにより、見ている人にいろいろと考えてもらう時間を与える。
押し付けるのではなく、例えそれが反対意見でもいい、反対意見を持つ人がひと時でもＢＬＭ問題について考えたり、思ったりする時間を持ってくれたらいい、そんな風に大きな気持ちを持っているのでしょう。
なおみちゃんのような若さで、今回のような行動を落ち着いてできるのは凄いです。
ゲーム中、対戦相手のアザレンカさんもベンチで瞑想していました。
音や声が聞こえないと寂しいですが、静寂は人を強くする事の手助けもしてくれるのだと思いました。",
3,"すごいことだけど、日本人の中で最も世界で知られている人になったんじゃないだろうか？
すぐないちゃうところは日本人的メンタリティーだけど、こうやって主張すべきところはしっかり主張するのはアメリカ人だな。
強くなければ同じことしても注目度は違う。ある意味そういうところがもてベーションになるのは彼女にはいいことだと思う。
彼女は自分のため、というより誰かのため、の方が頑張れるタイプのような気がする。",
4,"「“抗議しながら”優勝…刺激的だ」
違う。
彼女はコロナの自粛期間に、フットワークなど徹底的にトレーニングし、誰よりも努力し、戦う準備ができていたから勝ったのだ。観戦してフットワークやサーブなどどれも超一流、押されていても相手選手を圧倒的な力でねじ伏せた。正に女王。だから勝ったのだ。
「抗議」の姿勢は一人の人間として素晴らしい行為。一回り彼女を大きくさせてくれたし、アメリカ社会への主張とリスペクトを勝ち取った。
でも、抗議したから勝ったんじゃない
もう一度、勝つための準備を誰よりもしていたから勝ったんだ。
女王帰還！そこが凄いと思う。見ていて感動した。そして、「抗議」を通して真の女王としての資質も見せてくれた。",
5,今回驚いたのは優勝ではなく、彼女が自身の言葉を持っていたこと。いつもインタビュアーに質問されると「ahhhmm…」から始まり少し自信なさげに話し始めていたのが、今回のインタビューはほぼ全ての質問に即座に答えていた。まるで準備していたかのようだった。(していたのかも？)マスクについて「どんなメッセージがあったの？」と聞かれても「あなたはどう感じたの？それが答えよ」と返していて、ああこの人は自分の考えで行動し、またそこに確かな自信を備えているんだなと思って、本当に輝いて見えた。余裕さえ感じたし、内面から強くなったことが伝わってきて誇らしかった。,
6,"感動的です。

欠場が決まったフランスからはこんな声が報じられています：

「大坂なおみは100％受け入れられるよ」全仏欠場もレキップ紙記者が称えた勇気と尊厳（Number Web）",
7,"対戦相手は、プレッシャーを感じないのかな。
だって対戦相手が勝ったら攻撃されるじゃない？",
8,純粋な行動をおかしなジンケンヤーに利用されないようにしたいね。,
9,スポーツ選手の政治的発言に異論はないが、ナオミが抗議した内容のセンスがない。完全にクロじゃない事件。ナオミにはもっとセンスがあると思っていたので、残念。,
10,決勝まで進まないと用意した7枚すべてのマスクを付けられなかったことがモチベーションになったようだ。素晴らしい。彼女が日本国籍を選択してくれたことに感謝したい。,
11,勝ち進むことによってメッセージは強くなった。,
12,"今回のマスク着用、とてもインテリジェントな方法だと思います。
最初の頃はデモを、とツィッターとかで発信してましたが、それでは本当の意味での問題定義にならないとか、いろいろ考えたのだと思います。

静かに問題定義することにより、見ている人にいろいろと考えてもらう時間を与える。
押し付けるのではなく、例えそれが反対意見でもいい、反対意見を持つ人がひと時でもＢＬＭ問題について考えたり、思ったりする時間を持ってくれたらいい、そんな風に大きな気持ちを持っているのでしょう。
なおみちゃんのような若さで、今回のような行動を落ち着いてできるのは凄いです。
ゲーム中、対戦相手のアザレンカさんもベンチで瞑想していました。
音や声が聞こえないと寂しいですが、静寂は人を強くする事の手助けもしてくれるのだと思いました。",
13,"すごいことだけど、日本人の中で最も世界で知られている人になったんじゃないだろうか？
すぐないちゃうところは日本人的メンタリティーだけど、こうやって主張すべきところはしっかり主張するのはアメリカ人だな。
強くなければ同じことしても注目度は違う。ある意味そういうところがもてベーションになるのは彼女にはいいことだと思う。
彼女は自分のため、というより誰かのため、の方が頑張れるタイプのような気がする。",
