,comment,info
0,"＞＞そもそも暴動や略奪はプロテスト（抗議）の副産物だ。人々が目指し、行なっているのは、あくまで現システムへのプロテストなのだ。このプロテストは、誰かが正面から「あなたたちの話を聞こう」と言うまで続くだろう。

これはヒドイ！　容認出来ない暴力主義だ！
「正しい（と自分だけが思い込んだ）行為のためには、暴力も強盗も許される！」というのは、戦後日本の過激左翼犯罪と同じだ。

あの時起こったのは、空港での無差別銃撃（テルアビブ空港乱射事件）・爆弾での一般人殺害（連続企業爆破事件、土田警視総監夫人爆殺事件）など、狂ったイデオロギーの産物だった。

つい先日、フロイド氏事件の警官カメラ画像が発表された。激しく抵抗していた状況が克明に記録されていた。記事筆者：堂本 かおるは、この動画と上記文章表現をもう一度よく読むことだ。

薄っぺらな暴力礼賛（それも自分勝手なイデオロギーのため）など許されない。",url: https://news.yahoo.co.jp/articles/e4e9a5ea38b59640a0be4db185e6894d5993f55b/comments?page=14&t=t&order=recommended
1,"タイトルと内容にズレがあり、肝心なことが書いてない印象。
具体的に、黒人を殺害しても殺人罪で起訴されない仕組みを説明しなければ、抗議が続いている理由もわからないだろう。
例えば白人を逮捕する際に殺害した場合、どのような取り扱いになるのか。黒人の場合と比較検証するのが必須では。",comment num: 
2,銃砲刀剣類所持等取締法のある日本と違い、一般市民がライフルや拳銃を所持しているアメリカの警察官は、日本と比較にならないくらいに危険な職業である。日本なら、刑事ドラマが漫画でしかありえないドンパチに日常的にさらされるのがアメリカの警察官、殉職、負傷が絶えない。容疑者捕縛でも過剰に自衛せざるをえない。日本なら、油断しても殴られ、逃げられる程度だが、アメリカの場合、油断すると銃弾をくらう危険あり。こうした現実に人種問題がからむとーー複雑、混迷、泥沼の事態に発展する。,
3,"このひとたぶんアメリカほとんど行ったことないと思う。そこまで言うと日本もそういう似たか通ったりの仕組みがある。文春も大したことないと思う。インターネット時代になりマスコミが利益をだそうと必死になっていると感じる。煽れば読者を引き付けれるというのが見えてくる。

給料が安いからまともな内容に仕上げる努力を怠っていると思う。",
4,以前、米国のある州において、差別かどうかは私には判断できないが白人社会で黒人が殆んどいない地域があることを聞いたことがあります。こんなことが起きれば何か気になります。マスメディアの報道に踊らされてはいけないのと、警察側の言い分も伝えてほしい。また、デモで主張するのは民主主義の社会では当然ですが、何も関係のない店舗を破壊、強奪、住民に恐怖を与える行為を見ると街を愛してないのか、とか破壊行為、強奪が目的だった人達なんだと一部暴徒化を食い止め統率が出来なければマイナスの印象が残ります。,
5,"過剰な攻撃性って大抵防衛本能からくるようだから相手が自分、自分たちを恨んでる、憎んでるんじゃないか？という猜疑心が大きく関係しそう。

国籍やカラーとかで主語を大きくしてカテゴライズしたがる人は、個人よりもその人の背景に違うものを見てしまうので、そこを脅威に感じてると攻撃に出るのでは。",
6,"フロイド氏が逮捕拘束される時の最初からパトカーのドラレコで映像が記録されていて公開もされてる。
車に閉じこもり警官が話しかけても対応しない時間がかなり長かった。
通報で駆けつけた時の容疑は偽造通貨の所持と使用で、後の検死では違法薬物が体内から見つかった。
店舗が通報した時も警官が対応してた時も違法薬物を使用していた事になる。
前科に銃を使用した武装強盗や違法薬物の売買等で収監記録もある人。
なのにそこは全く伝えない日本の報道。

デモで警官に暴行された男性は左翼の工作で怪我は非常に軽く、暴行を挑発し偽装された物だと証拠も出てます。
高齢の男性や殴られた大学生は金で雇われ殴られる役を買って出た俳優だと言われていますし、
金を貰ってBLMに参加した事や、大勢が雇われ仕事としてのデモ参加を証言しています。

＞高齢の白人男性が警官によって押し倒されて後頭部を打ち、集中治療室に運ばれた。",
7,"第二次世界大戦の時は日系は皆んな財産没収され、敵国民だから差別され、貧困率が一番高かった。
今は一番少ない。親が必死になって子供を教育して頑張ったおかげだと思う。

少なくとも生活が苦しくても掠奪や暴動はさせなかった。",
8,"生まれが子供の性格なんかに大きく影響を与えるのはわかる。
だけど犯罪者の子が犯罪者になるのが当たり前って主張(犯罪などのサイクルから抜け出せない)ってのは違和感しかないわ。

なら、デモする内容はそっちにしなきゃ。
犯罪の大半が黒人によるものってのも差別とはいかなくても、「こいつは危なそう」「信用できなさそう」と思わせるには十分な理由だよねってのは理解できてしまうよね。",
9,"なんでこんなに差別された結果に
起こる行動がデパート襲撃したり無抵抗な白人に暴行するに到達するのか
イデオロギーがあったとしても教育・道徳学べる機会は作れたはず
レイシズムに暴力やレイシズムで返答して将来の子供達の命は救われるのか",
10,"＞＞そもそも暴動や略奪はプロテスト（抗議）の副産物だ。人々が目指し、行なっているのは、あくまで現システムへのプロテストなのだ。このプロテストは、誰かが正面から「あなたたちの話を聞こう」と言うまで続くだろう。

これはヒドイ！　容認出来ない暴力主義だ！
「正しい（と自分だけが思い込んだ）行為のためには、暴力も強盗も許される！」というのは、戦後日本の過激左翼犯罪と同じだ。

あの時起こったのは、空港での無差別銃撃（テルアビブ空港乱射事件）・爆弾での一般人殺害（連続企業爆破事件、土田警視総監夫人爆殺事件）など、狂ったイデオロギーの産物だった。

つい先日、フロイド氏事件の警官カメラ画像が発表された。激しく抵抗していた状況が克明に記録されていた。記事筆者：堂本 かおるは、この動画と上記文章表現をもう一度よく読むことだ。

薄っぺらな暴力礼賛（それも自分勝手なイデオロギーのため）など許されない。",
11,"タイトルと内容にズレがあり、肝心なことが書いてない印象。
具体的に、黒人を殺害しても殺人罪で起訴されない仕組みを説明しなければ、抗議が続いている理由もわからないだろう。
例えば白人を逮捕する際に殺害した場合、どのような取り扱いになるのか。黒人の場合と比較検証するのが必須では。",
12,銃砲刀剣類所持等取締法のある日本と違い、一般市民がライフルや拳銃を所持しているアメリカの警察官は、日本と比較にならないくらいに危険な職業である。日本なら、刑事ドラマが漫画でしかありえないドンパチに日常的にさらされるのがアメリカの警察官、殉職、負傷が絶えない。容疑者捕縛でも過剰に自衛せざるをえない。日本なら、油断しても殴られ、逃げられる程度だが、アメリカの場合、油断すると銃弾をくらう危険あり。こうした現実に人種問題がからむとーー複雑、混迷、泥沼の事態に発展する。,
13,"このひとたぶんアメリカほとんど行ったことないと思う。そこまで言うと日本もそういう似たか通ったりの仕組みがある。文春も大したことないと思う。インターネット時代になりマスコミが利益をだそうと必死になっていると感じる。煽れば読者を引き付けれるというのが見えてくる。

給料が安いからまともな内容に仕上げる努力を怠っていると思う。",
14,以前、米国のある州において、差別かどうかは私には判断できないが白人社会で黒人が殆んどいない地域があることを聞いたことがあります。こんなことが起きれば何か気になります。マスメディアの報道に踊らされてはいけないのと、警察側の言い分も伝えてほしい。また、デモで主張するのは民主主義の社会では当然ですが、何も関係のない店舗を破壊、強奪、住民に恐怖を与える行為を見ると街を愛してないのか、とか破壊行為、強奪が目的だった人達なんだと一部暴徒化を食い止め統率が出来なければマイナスの印象が残ります。,
15,"過剰な攻撃性って大抵防衛本能からくるようだから相手が自分、自分たちを恨んでる、憎んでるんじゃないか？という猜疑心が大きく関係しそう。

国籍やカラーとかで主語を大きくしてカテゴライズしたがる人は、個人よりもその人の背景に違うものを見てしまうので、そこを脅威に感じてると攻撃に出るのでは。",
16,"フロイド氏が逮捕拘束される時の最初からパトカーのドラレコで映像が記録されていて公開もされてる。
車に閉じこもり警官が話しかけても対応しない時間がかなり長かった。
通報で駆けつけた時の容疑は偽造通貨の所持と使用で、後の検死では違法薬物が体内から見つかった。
店舗が通報した時も警官が対応してた時も違法薬物を使用していた事になる。
前科に銃を使用した武装強盗や違法薬物の売買等で収監記録もある人。
なのにそこは全く伝えない日本の報道。

デモで警官に暴行された男性は左翼の工作で怪我は非常に軽く、暴行を挑発し偽装された物だと証拠も出てます。
高齢の男性や殴られた大学生は金で雇われ殴られる役を買って出た俳優だと言われていますし、
金を貰ってBLMに参加した事や、大勢が雇われ仕事としてのデモ参加を証言しています。

＞高齢の白人男性が警官によって押し倒されて後頭部を打ち、集中治療室に運ばれた。",
17,"第二次世界大戦の時は日系は皆んな財産没収され、敵国民だから差別され、貧困率が一番高かった。
今は一番少ない。親が必死になって子供を教育して頑張ったおかげだと思う。

少なくとも生活が苦しくても掠奪や暴動はさせなかった。",
18,"生まれが子供の性格なんかに大きく影響を与えるのはわかる。
だけど犯罪者の子が犯罪者になるのが当たり前って主張(犯罪などのサイクルから抜け出せない)ってのは違和感しかないわ。

なら、デモする内容はそっちにしなきゃ。
犯罪の大半が黒人によるものってのも差別とはいかなくても、「こいつは危なそう」「信用できなさそう」と思わせるには十分な理由だよねってのは理解できてしまうよね。",
19,"なんでこんなに差別された結果に
起こる行動がデパート襲撃したり無抵抗な白人に暴行するに到達するのか
イデオロギーがあったとしても教育・道徳学べる機会は作れたはず
レイシズムに暴力やレイシズムで返答して将来の子供達の命は救われるのか",
20,"私も欧米旅行中、暴力こそ受けなかったが、何度も差別を受けた。
仕事や観光以外の滞在は、もう御免だ。
日本人も外国人も、自国に帰還して安堵の中で生活するのが一番だ。",
21,"犯罪者が取り押さえられて苦しいと訴えたとしてもそう簡単に解放はしないのでは？銃社会のアメリカならなおさら
そもそも白人警官に殺されてる白人はいないんかね
後半に述べられてる事は格差の問題であってどこの国でも起こってる事だと思う",
22,アクシデントと殺害を間違えて書いてる。殺人は殺そうと思って殺すこと。今回の騒動の発端は人の扱いが悪くて起こってしまったアクシデント。白人警官が逮捕時に間違って殺してしまうのはアフリカンアメリカンだけじゃないんだけど。このライターは情報不足、真実が見えていない浅はかな考えの人だね。タイトルで釣ろうとしているだけ。,
23,"フィジカルでは黒人に敵わないと理解しているからこその過剰防衛の側面もあるのではないだろうか。

身体能力において自分達白人が劣っている事を暗に認めているのですよね。

何かを過剰に攻撃する時、大抵はその対象を過剰に恐れている事の裏返しなのではないかと。",
