,comment,info
0,"昔、アメリカの白人至上主義者達と会話して、彼らなりの主張を全部聞いたけど、「そこまで白人としての強い誇りがあるなら、誇りある先祖の地であるヨーロッパに帰還しようって考えないの？」って聞いたら黙り込んでた。

こいつらガチじゃないなって感じた…",url: https://news.yahoo.co.jp/articles/1302b13a9dec74ffc57c9ae75653ec2b38505a93/comments?page=15&t=t&order=recommended
1,"BSの「町山智浩のアメリカの今を知るテレビ」(漢字うろ覚え)という番組でこの人見たと思う。
確か今のアメリカではKKKが顔出しで普通に集会開いてる、という話の流れでこの人に行ってたような記憶…
流暢な日本語で普通に会話してたと思ったら、紳士的でにこやかな態度のまま普通に
「黒人は知能が低いですから教育しても無駄です」とかさらっと言い出して驚いた。
町山さんもぎょっとして
「無駄なんですか！？」と何度も聞き返してたが、結局撤回せず。
正直怖かった。
BS TBSはなぜこの人を選んで招いたのか…",comment num: 152
2,">現在はテイラーが暮らしていた1960～70年代とは比べものにならないほど人種や民族が多様化している

民族を人種や出身地で分類するのは、いかがなものかと思う。
町内のインドネシア出身の両親の子供が小学校に通っているが、みんな日本人として接している。",
3,">その白人至上主義者を識者として尊ぶ日本。

ちょっと待て、識者として呼んだのは日本のテレビ局であって日本ではない。
主語の部分をこういう風に過大に表現するのは本当にやめろや。",
4,でも均質度が高いから人種や民族の違いを理由とする揉め事が起こりにくいという点はあると思う。,
5,こういう思想を理解していない日本人が、単に相手が日本語がわかるから日本を好きだからという理由で容易にインタビューしたり彼らの姿をテレビでうつすのは本当にマズイ。それは彼らの主張を暗黙に容認していることになる。ロゴやシンボルを出して沈黙のメッセージを出してることだってある。日本アゲをしていれば何でもありって、テレビ局ってつくづくそこまでわかる頭のいい人が制作側にいないんだなと思う,
6,"＞ 「メキシコとの国境に壁を建てる」「米国にいるビザ無し移民推定1,100万人を全員強制退去」など、トランプの荒唐無稽な公約

本稿の趣旨には反対しないけれど、この部分には違和感を覚える。
国境警固と不法移民防止は国家の基本で、少なくとも、トランプの公約を「荒唐無稽」と切り捨てることはできないと思う。
アメリカが移民により発展してきた歴史的事実はあるとしても、安価な労働力と消費人口を増やすために不法移民を受け入れてきたご都合主義の「リベラル政策」のほうが邪道ではないかな。法治国家が不法行為を追認している訳だし。
その意味では、日本の移民政策や外国人技能実習制度のほうがまだマシだと思う。",
7,"今の外国人財の規制緩和は、アジア諸外国の人々を安い労働源とする、政府の移民政策だと思う。
移民政策は島国の日本にとって将来難しい問題を抱える事になるだろう。",
8,"報道1930は報道番組としては良質な部類だと思うけど？

極右の出演がダメって論調だけど、この番組は極左も出演してるし、何より司会者がリベラルなのに、ちゃんと保守派の意見も聞き入れてコメントする点で他とは大違い。

あと民族という定義がこの記者の中でどうなっているかは分からんが、日本人の特徴として、ある程度均一な価値観を持っている、というのは確かなことだと思う。

自分は日本はこれから移民との摩擦が増えてきそうで、とても不安だ。

だって結局移民と上手く生活していけてる国なんて皆無だから。
移民擁護派は薄っぺら過ぎるんだよ。",
9,"オルタナ右翼には日本が、隣りの芝生は青く見える。んじゃないの？
あっ…そう…としか言えない。
人種的に、文化的に均一なのは、ド・ゴール大統領でさえ羨ましがった大陸から海や大洋に護られた場所だからじゃないの？
南北アメリカ大陸も海や大洋に護られた場所だったけど障壁が低かったから白人が来て混乱を起こした。",
