,comment,info
0,"確かに一部人種に絡めたひどいメディアはあっただろうけれど、大半がメーガンさんの行いによる批判です。
なんでも人種に絡めないでもらいたい。",url: https://news.yahoo.co.jp/articles/f088d7fc3cf52aef2cbc9dd0943728b4bf33b32a/comments?page=12&t=t&order=recommended
1,王室自体はかなりメーガンに配慮して特別扱いしてきましたが、逆にメーガンは王室の伝統やルールを無視してきたために批判を受けました。金銭感覚にしてもそう。王室の歴史や成り立ちを学んでいないから金満生活をした挙句、批判されて飛び出しただけなのに。,comment num: 123
2,"キング牧師のあの有名な演説テープを何回も聞いて英語を勉強しました。あのうち震えるような演説。今でも一部を暗唱できます。
息子様のご発言ですが、メーガン妃の今の状況を人種問題の観点だけから捉えると、大変ややこしい話になります。少なくとも王子にもプラスにはならないでしょう。妃の人間性の問題を論じるのが人種差別だとおっしゃるのなら、誰もが彼女のことをそれぞれの記憶から消し去ろうとするでしょう。",
3,"あのですね、確かに人種差別はいけませんよ。でも、メーガンと王室の間のいざこざは人種差別が絡む要素は無いと思います。
ゴスペルの結婚式挙げたじゃないですか。
王室のルール無視して、自分流の風吹かせてましたよね。
いつも思うのですが、わかってて結婚したんじゃねーの？って話ですよ。
権利ばっかり主張して義務を果たさず、散財しておいておいしいとこどり。
立場が悪くなると、やれ人事差別を盾にするとは汚すぎます。",
4,キング牧師の息子の偏った味方と発言に「失望」。メーガンの主張だけで判断してはいけません。自己中な行動はみんな見ていますよ。神様も見ています。簡単に人種差別に繋げてはいけません。,
5,"どう扱えば満足だったんだろうね？常に女王の隣に並ばせるとか？みんなが気を遣って常に何してもちやほやしてあげるとか？王室に来てくれたことに感謝を示すとか？
リスペクトがなかったのはメーガンさんの方だと思うけど。",
6,"出ましたよ。
なんでもかんでも、差別的と言う人。
メーガンがイギリス王室から嫌われたのは事実でしょうね。
ただ、それは身から出た錆でしょう。
ドレスコードは守らない、メディアに色々と放言する、キャサリン妃への嫌がらせ、浪費癖、伝統を守らない。
アメリカのように、歴史の浅い国、行き過ぎた個人主義の国には理解し難いでしょうね。
メーガンの行動は批判されて然るべき。
キャサリン妃も当初は批判されていましたが、王室の一員としての立ち居振る舞いを身に付けてからは、批判されなくなりました。
王室に入れば好き放題できると勘違いしたメーガンの現在の状況は、至極当然の帰結でしょうね。",
7,この人が英王室に馴染めなかったのは、人種差別問題とは関係ないと思うがね。何でもかんでもそこに絡めて来るの、やめて欲しいわ。,
8,"キング牧師の言葉は、黒人にも他の人種と同じように人権が与えられるべき、白人よりも上に立とうとはするな、対等であれ、ということで黒人崇拝ではないから。
メーガン含め、一定数の方はそこを理解してないと思う。
何でもかんでも都合が悪くなったり不利になったとき、自ら人種に結びつける人達がいるんだから差別はなくならないよ。

記事の中にある""人種差別的な記事""ってどのことを言ってるんだろう。見たことないけど…",
9,"王室内部のいざこざと、人種問題は全く関係ありませんよ。
キング牧師の息子を名乗るくらいの方だったら、一方からの話だけではなく、もっと客観的なものの見方が必要かと思いますが。逆に残念です。",
10,"確かに一部人種に絡めたひどいメディアはあっただろうけれど、大半がメーガンさんの行いによる批判です。
なんでも人種に絡めないでもらいたい。",
11,王室自体はかなりメーガンに配慮して特別扱いしてきましたが、逆にメーガンは王室の伝統やルールを無視してきたために批判を受けました。金銭感覚にしてもそう。王室の歴史や成り立ちを学んでいないから金満生活をした挙句、批判されて飛び出しただけなのに。,
12,"キング牧師のあの有名な演説テープを何回も聞いて英語を勉強しました。あのうち震えるような演説。今でも一部を暗唱できます。
息子様のご発言ですが、メーガン妃の今の状況を人種問題の観点だけから捉えると、大変ややこしい話になります。少なくとも王子にもプラスにはならないでしょう。妃の人間性の問題を論じるのが人種差別だとおっしゃるのなら、誰もが彼女のことをそれぞれの記憶から消し去ろうとするでしょう。",
13,"あのですね、確かに人種差別はいけませんよ。でも、メーガンと王室の間のいざこざは人種差別が絡む要素は無いと思います。
ゴスペルの結婚式挙げたじゃないですか。
王室のルール無視して、自分流の風吹かせてましたよね。
いつも思うのですが、わかってて結婚したんじゃねーの？って話ですよ。
権利ばっかり主張して義務を果たさず、散財しておいておいしいとこどり。
立場が悪くなると、やれ人事差別を盾にするとは汚すぎます。",
14,キング牧師の息子の偏った味方と発言に「失望」。メーガンの主張だけで判断してはいけません。自己中な行動はみんな見ていますよ。神様も見ています。簡単に人種差別に繋げてはいけません。,
15,"どう扱えば満足だったんだろうね？常に女王の隣に並ばせるとか？みんなが気を遣って常に何してもちやほやしてあげるとか？王室に来てくれたことに感謝を示すとか？
リスペクトがなかったのはメーガンさんの方だと思うけど。",
16,"出ましたよ。
なんでもかんでも、差別的と言う人。
メーガンがイギリス王室から嫌われたのは事実でしょうね。
ただ、それは身から出た錆でしょう。
ドレスコードは守らない、メディアに色々と放言する、キャサリン妃への嫌がらせ、浪費癖、伝統を守らない。
アメリカのように、歴史の浅い国、行き過ぎた個人主義の国には理解し難いでしょうね。
メーガンの行動は批判されて然るべき。
キャサリン妃も当初は批判されていましたが、王室の一員としての立ち居振る舞いを身に付けてからは、批判されなくなりました。
王室に入れば好き放題できると勘違いしたメーガンの現在の状況は、至極当然の帰結でしょうね。",
17,この人が英王室に馴染めなかったのは、人種差別問題とは関係ないと思うがね。何でもかんでもそこに絡めて来るの、やめて欲しいわ。,
18,"キング牧師の言葉は、黒人にも他の人種と同じように人権が与えられるべき、白人よりも上に立とうとはするな、対等であれ、ということで黒人崇拝ではないから。
メーガン含め、一定数の方はそこを理解してないと思う。
何でもかんでも都合が悪くなったり不利になったとき、自ら人種に結びつける人達がいるんだから差別はなくならないよ。

記事の中にある""人種差別的な記事""ってどのことを言ってるんだろう。見たことないけど…",
19,"王室内部のいざこざと、人種問題は全く関係ありませんよ。
キング牧師の息子を名乗るくらいの方だったら、一方からの話だけではなく、もっと客観的なものの見方が必要かと思いますが。逆に残念です。",
20,"出ましたね、何でもかんでも黒人差別を盾に使う人が。

こういう人に限って、問題が本人によるものである事実/意見があからさまになると、何故か大人しくなって一言も発しなくなるという。

キング牧師の息子ならもう少し幅広く世間を見て頭使って発言したら良いのに。彼の発言に失望です。",
21,"キング牧師の息子さんにはいささか失望した。彼には、王室とメ一ガンさんの問題の本質が見えていない。
人種問題が皆無とは言わないが、王室の伝統も知らず、知ろうとすらせず、自分流を通そうとしたことに全ての始まりがあった。メ一ガンさん自身が故意に人種問題に絡めている感すらある。
キング牧師の息子さんも、他国を批判するなら、もう少し事情を見極めてから発言すべきであった。",
22,"この人はキング牧師のただの息子さん。偉業をなしたのは父。
キング牧師なら、一方だけの主張を鵜呑みにしないだろう。
彼ならメ―ガンの本質を一瞬で見ぬく。
これは、人種問題じゃない。人格問題。",
23,メーガンが人種差別で叩かれたって本気で思ってる人ってどれくらいいるんだろな。結構、動画付きのニュースや画像、記事でメーガンが王室でどんな暴挙をしでかしてたかくらい分かると思うのですが。決してメーガンが叩かれた主な原因は過ぎた金満（浪費）ぶりと一方的とも思える達者な物言いと、色んな人を利用し踏み台にして成りあがった外道な人間性と思います。とりあえず見る目のないキング牧師の息子には失望ですわ。,
24,"キング牧師の息子だからって、アメリカ人が他国であるイギリス王室の伝統に意見するのは筋違いじゃないでしょうか。
そもそもメーガンバッシングをただの人種差別で片付けるのは間違っている。",
25,"人種差別以前に、王室に対して
リスペクトが全くなかったのだけど。
なぜ棚に上げているのだろうか。アメリカから
王室に入ったら王室のマナーに従わないのは
当然だと思っているのだろうか？
イギリスのパパラッチが出した記事を指して
差別的、というのは間違い。キャサリン妃も
王室に入る前はかなりひどく書かれたし。
伝統を守れないなら、王室には入らない選択も
あったのにね。",
26,"メーガンさんの件は人種差別じゃない
王室で自分流を貫きすぎたからの批判
すぐそっちの方向に持って行って反論しようとするのはおかしいし、
人種差別というワードをなんにでも通用する盾のように使うのは間違っているし不信感を与えるだけ",
27,"婚約時から色々と優遇されてきたけど？
人種差別と決めつけるのは違うのでは。

結婚後に色々と自己流を通してきたから今の状態になっただけで。
スタッフを指を鳴らして呼び、調査もちゃんとせずに慈善団体を決め、公務での挨拶はハリーさんより先が当たり前で、座るときは足を組む、まだまだあると思うけど。
守るべき事を守ってないのだからフォローも出来ない。
何かあればヒステリックを起こされる。

一緒に仕事はしたくないと思える。
仕事の信頼関係は生まれない。",
28,"王族、貴族って継承順位で待遇に差がつくシステムなんだから、差別は確かにあるだろうね。
兄弟姉妹でも差を付けられるんだから、メーガン妃がイギリス生まれの白人だったとしても長男夫婦と対等の扱いは受けられないよ。

平等でないのが嫌だと結婚後にヘンリー王子とロイヤルを抜ける抜けないと騒ぎを起こすより、
結婚前にヘンリー王子が平民になってから結婚してれば、
メーガン妃もここまで嫌われてなかったかも。",
29,王室は一般ともセレブとも違う立場にあること、黒人問題は別にあることを、キング牧師は理解すべきです。何でも反対を申せばいいわけではない。それに、メーガンも王室に対して敬意を払った言動を行うべきでしょう。,
30,"キング牧師の息子って普通の人なんだね

結局問題の軸を人種差別的な部分に置くなんて

なんも言わない方がマシだね　親が有名な分。。。",
31,"なんでも人種差別にしちゃダメだって…それが人種差別を生むと思わないのかな？？
メーガンは、人種差別を盾にしすぎてる。自分の行動棚に上げてうるさーってなる",
32,"一定のカリスマ性のある著名人にメーガンさん擁護の発言をさせ、記事にする。
事務所の力ですね。
キングJrは一方だけの証言を引き合いに出して発言すべきではない。
人種差別問題と言ってもメーガンさんをこの運動のオピニオンリーダーとして盛り上げる意図が見え隠れする。
もともとは人権という純粋な活動も、政治的に関与していかないと解決の糸口が見つからない。
お互いが非難しあっていても、何も始まらないと思うが…",
33,"Mさんが、ピンチの時にすかさず助けてあげればよかった。例え自分自身の身に、何か不都合があっても。
Mさんが、困っている時こそ手を差し伸べられる人がいましたか？ 最後は非難する人は、自分の立場を守り後からMさんが、気の毒と言って来る。チームメーガンに、働き掛ける人もいてもよかった。策略的な、記事としか思えない、",
34,"MM関連のニュース　やっぱりでました「キング牧師」

MMが卒業生へ送ったビデオはキング牧師気取りと言われていました。
キング牧師の息子さんが　今度はMMを擁護ですか。

キング牧師がこの記事見たら　息子に失望するかな。
アメリカ人だから　王室の事なんてわからずMMと一緒になって王室を責めるのかな？


キング牧師家族に「失望」しました。",
35,キング牧師に顔は似ているけれども、本人ではありません。息子と言うだけで影響力があると思っているかもしれませんが、キング牧師が言っている言葉ではありません。,
36,"キング牧師というビックネームの息子というだけで、有名人。ご本人の実績は私は無知なので全く知りませんが。

でも、世界的に名の知れた人を見方につけて
「人種差別だ」と擁護してもらう。
人々のメーガンへの批判はそこじゃないのに。

一層 世間から嫌われる。",
37,彼女の問題を、人種差別にするとは乱暴な行為だと思います。ましてや、正当な人種差別と闘い人々の心の支柱になっている父親に対し、ただ単に人種差別と捉えるような発言は、特に今は危険だと思います。彼に限らず社会的に、影響力を持っている人は人種差別はいけないに留め、誰々が受けたと軽はずみに決めつけてはいけないと思います。特に、彼女は自分の行いは棚に上げ、自分の我が通らなかったことに腹を立て、それを味方を得るが如く人種差別にしているだけなのですから、まんまとそれに乗っかることはいけないこと…だと思います。お父様の行動は、そんなことに利用されるべきではありません。そもそも、わがままが通らないことは人種差別とは全く違うことです。,
38,"パクリ牧師の息子なら何をやってもこの程度のパフォーマンスにしかならないでしょうね
メーガンと同じ穴の貉かもしれませんが",
39,"ダイアナ元妃なんてもっと過酷でしよ。白人でしたけど！
全然幸せでもなかった。それ比べてあなたには、旦那が愛してくれてんでしよ。
アメリカに行ったんでしよ、ダイアナさんの場合そんな事すら不可能でしてたよ。
本当に孤独そうでしたね。何が問題なの？メーガンさんがご自身が問題を起こしてもまだヘンリー王子がいてくれてるでしよ？なんの不満？
自分でこんなとこおさらばしてやるて感じで夫婦でおさらばして来た，できた、自分たちで決めてやって来た事でしよ。何処に不満をぶつけて他人にこの場合王室だから特殊だからと勝手に悪者にするて？世間は、そこまで馬鹿じゃないんで。お父さんは、尊敬しますけど…ヘンリー王子の元彼女も王室には、嫁げないから別れてんだそうですよ。一般人と王族て差別の前に習慣や価値観様様違いますけど。そこに入るて何が問題あってもおかしくないんだよ。差別なんて肌の色関係なくあるてわからないて余程？",
40,"正直に言えば？

メーガンが「黒人系であるがゆえに王室でいじめられ苦しんできたが、それでも負けずに戦う悲劇のヒロインである」ということにしておけば、自分達の活動に利用できて都合がいいからでしょう？

グレタもそうだけど、こうやって自分たちの要求を通すために、女性や子どもを利用する人権活動家や環境活動家らの精神性には反吐が出る。",
41,キングも、お父さんほどの功績や知名度も無く、毎年１月に故キング牧師の息子とインタビューされる程度なので、こんなことにもコメントして、名を売ってるだけ。,
42,なんでも人種差別にするのはねぇ。。あきらかにメーガン自身の行動のせいでしょ。そもそも皇太子妃と同列かそれ以上に扱えっておかしいから。ヘンリー継承権あっても一位でもまして二位でもない。,
43,人種差別は絶対にいかん！と思うが、なんでもかんでもこれに結びつけてる間は解決せんと思うのは、私だけ？,
44,"この方、メーガンに関する報道を全て見てるのでしょうか？
メーガン擁護派はみんな、ごく一部しか見てないような印象です。",
45,少なくとも王室離脱して配偶者側の実家に戻ってしまったのは王室メンバーの一員としては支持できません。,
46,"なんでもかんでも人種問題と関係付けてはいけない。

庶民の国際結婚だって人種差別はあるが、メディアに叩かれることはない。",
47,たとえメーガンさんがアフリカの王国に嫁いだとしても、すぐ離脱するんじゃないかと思える,
48,"メーガンは人種差別を受けた訳やない。
普段の行いが良くなかっただけでしょ。",
49,分かった、彼の発言は何でもかんでも日本がわるいと言うどこかの国の大統領と同じだ。メーガンと人種問題は関係ない,
50,"ん？

人権まで絡めてくるの？

メーガンのわがままから始まったことなのに…",
51,都合が悪いと人種問題を持ち出すのはそろそろやめないかな…,
52,"王室離脱して一般人になったのに
「妃」という称号を使うのは何故なのか疑問です。",
53,"また変な奴出てきたな。
キング牧師はキング牧師、息子は息子。
キング牧師は良い人だったのかも知れませんが、息子は息子です。だから何って感じ。引っ込んでろ。",
54,この人が嫁いでからイギリス王室は散々だな。,
55,"何でもかんでも人種差別といえば支持されると？
まずは自省を。",
56,なんでも人種差別にすり替え出来て便利なカードですね。,
57,王室は、階級社会。上下関係があってあたりまえ。差別ではありません。,
58,"何でも人種差別に結びつけるな！
違うだろ！",
59,白人でもこの態度なら批難せれてたと思うけどな!,
60,あまり宗教関係者はメーガンvs英国王室の争いごとに口を挟むべきでない。,
61,ヤフコメからして差別意識剥き出しなのに差別じゃないらしいので、差別問題の深さを感じます。,
62,こうやって、黒人が何か不利益を被るとすなわち人種差別という話に持ち込もうとする人がいるから、メーガンさんも図に乗ってるんですよね。王室も本当にやりにくいと思う。こういう黒人がいると、いつまで経っても偏見がなくならないと思うけど。,
63,"こういうのが出てくるから、話が混乱してくるんだよ。メーガンとハリーも、自分たちの事勘違いするし。

何でも差別に結びつけるなら、黒人にも、
アメリカ人にも、日本に来て欲しくない。",
64,"このキング牧師の息子ってのも、メーガンも、王室のどの行動、メディアのどの記事が「人種差別」だったのか、具体的に言って欲しいですよね。
この牧師の息子も「黒人だから擁護」ってんなら立派な差別主義者だわ。

英国王室はメーガンさんをキャサリン妃よりずっと優遇していましたし（上位に居て真面目に頑張ってるキャサリン妃が可哀想）、批判はメーガン本人の行動や発言に対して、ですよね？？
そこに人種によるバイアスが掛かっているとしたら逆に「優遇・過剰に配慮されている」ことくらい。
メーガンが黒人だから優遇され、メーガンやりたい放題。王室での扱いもメディアの批判もみんな遠慮がち。。。メーガンが白人だったら、もう壮絶なバッシングになってるよ。まぁ黒人でも白人でも関係無く、全て本人の悪行のせいなんだけどね。。。

黒人だから甘くされてたのに、勘違い甚だしいわ。",
65,"偉そうに。
王室からの援助なしで生活してから言ってください。

キング牧師の息子もヘンリーと同じで、偉大なる家族の威光に甘え寄生した子どもなんでしょうね。",
66,"黒人さんはいつもこれだねー。
王室で人種差別があったと言うなら、どんなこと？？
記憶してる限りでは思い浮かばないんだけど。
逆に人種差別と言われないよう、王室はメーガンに甘かったのは誰が見ても分かる。
結婚式から出産や引っ越し、高い衣装、何でも自分流を通してきたし、王室のしきたりも破ってきたんですよねー。
大体人種差別があったら、結婚出来てないと思うけど。
こんなキング牧師の息子とかって人まで出てきて、王室は気の毒だと思うわ。イギリス王室に過ちがあったとしたら、メーガンとの結婚許したことだと思うわ。人種差別と言われようが、育ちの悪い黒人三流タレントは王室に入れないべきだった。",
67,"フロイド事件以来人種問題見るたびに腹が立ちます。
なんでも都合よく黒人差別だと言う黒人。
ちゃんと本質みて発言してる？
だから頭悪いんだよって言われるよ。
彼等が変わらないなら差別もなくならないでしょう。なんでもかんでも肌の色のせいにするんじゃないよ。メーガンだけじゃなく世の中は結構変わって擁護してるのにもっともっとって感じがする。",
68,仮にメーガンが白人だったとしても、あのような態度でいれば問題になるわけで、人種差別というより人間性の問題だと思います！,
69,"美空ひばりの息子とおんなじ。

メーガンさんって言うほど黒いかな！？
騒げば騒ぐほどそこが気になってしまって。
真っ白から真っ黒の人をワントーンずつ並べてみて、一体どのラインから黒人になるんでしょう？イエローな日本人だって、色白女優さんからたいめいけんまで様々ですし。

要は人格の問題。
黒人が差別される原因の根本は、昔は野蛮的ですぐ暴力を振るうから。文明的じゃなかったんですよね。略奪もするし…あ、今もでしたか。
朝鮮系の方もそうでしたね。トイレの概念すら無かったし、家畜にお婆ちゃんが自らの母乳を直に与えて育ててたとか、当時の日本人からしたらびっくりしたでしょう。暴力・略奪多かった。

差別の背景が見た目だけだと思っていては、根本的な改革は望めません。なのに、それを理解できずに自らを律せず差別するなと言葉だけで叫んでも無理です。",
70,"ヘンリー王子は、メーガンのために王室を離脱して、彼女の希望通りにしているのに、何故王室の批判をするんだろう。
むしろ、イギリスと王室には、感謝の意を表明すべきだと思う。
黒人は、被害妄想が強すぎるのではないか。",
71,"人種差別は勿論いけない。
それは当然だけど、全ての人に同じように聞く質問でも「そんな事を聞くのは私たちが黒人だからでしょう？人種差別だ！」と過剰反応する人も一定数いるよね。
そんな人が周りにいればウンザリする他人種が出てきても仕方ないとも思う。

キャサリン妃が嫁がれた時よりもメディアも女王もメーガンさんに優しかったけどね。
何でもかんでも人種問題を持ち出さずに自らの行動を省みる事を覚えた方が…

キング牧師は自らが行動を起こし黒人の地位向上に貢献された素晴らしい人だと思うけど、この息子とやらは何をしたの？",
72,日本人でも唖然となった結婚式を見れば、英国王室は、メーガンにそれなり以上の待遇を与えていたと思うが、やはり！公民権運動のキング牧師の息子となると、メーガンを庇うしかないかな？,
73,彼女の今までの、皇室に対する失礼な言動を、人権差別問題とすり替えないで下さい。,
74,"論点のすり替えはいけませんね。

メーガンが黒人の血を引いているから擁護されるのでしょうが、批判内容の殆どが彼女の内面に対するものなんです。

彼女が外国人であるが故、英王室はかなりの譲歩をしてきたと思います。

イギリス人であるキャサリン妃の時は　もっと一挙手一投足取り上げられ批判されて　それが新参者への洗礼だ、とばかりに擁護してくれる意見も少なかったと思います。

メーガンは　黒人の血を引いているから批判されるのではなく　中身がメーガンだから批判されるんです。",
75,"結局黒人にとっては黒人なら何でもよし、何しても許されると言ってるようなもんだな。
キング牧師もそういう人間だと捉えられかねないけど、良いのかね？それともこの人がバカ息子なのではなくキング牧師もそっち系だったってこと？",
76,ヘンリーはメーガンの奴隷に成り下がったのかな？メーガンは人を利用し踏み台にしてるけどテロに成り国家反逆罪なのかな？怖いね️自分では何も出来ず金満 最悪妃なのに️,
