,comment,info
0,アメリカ大統領選挙についても不用意な発言をして、エリザベス女王を怒らせたのが綺麗事なんか言ったって全く説得力ないですよ。ホントに人種差別を許さないとか強い信念があるわけじゃなくて、自己顕示に利用しているだけじゃないのか？捻くれた見方かもしれないけど、今までのこの夫婦の言動を見ていると正直そう認識せざるを得ないです。だって、奥さんの肌の色なんか全く関係なしに、結婚した事自体が大間違いだもの。この夫婦って。,url: https://news.yahoo.co.jp/articles/1893ff7e064b1857b2da4f1e1907f54beef4e8a5/comments?page=17&t=t&order=recommended
1,なんかもう、イロモノとかキワモノって感じの存在になりつつあるよね。イギリス王室にとってはとても恥ずかしい存在でしょうけど本人たちは満足そうですね。,comment num: 
2,"批判覚悟・・・自分が公爵で、怖いものが無いから、そんな事を言える。
エリザベス女王や、ウィリアム王子が何も考えずに発言したことが有るか良く考えたら良い。
嫁さんもダメダメだが、本人も全くダメダメですね。",
3,好きにすればいいけど、お説を唱えたければ、まずは称号その他も返上して、パパからの援助も断って、英王室とは完全に縁を切って一民間人になってからやるのが筋ってもんでしょう。,
4,"奴隷貿易と植民地支配で巨万の富を得たのが大英帝国で、その頂点が英国王室。
人種差別（黒人）問題をやるなら、最低でも、称号、爵位などすべてを放棄して完全民間人になってからやるべきではないですか。

ただ、英国王室（＝大英帝国の富）から多大の恩恵を受けてきたヘンリー王子は、ある意味加害者側の人間ともいえるので、被害者側へ転向するのは難しいと思いますけどね。",
5,じゃ、まず、自分たちが15億円もの豪邸を出て、苦労せず得た特権を棄て、チャールズパパからの援助も受けず、一般人と同じように労働し賃金を得て、生きてみたらどうか。それから、メッセージを発信してみろよ。,
6,"環境問題を訴えながら、私的旅行でプライベートジェットに乗りまくってた2人だから、
ハイハイ次は人種差別ね。今特に騒がれてて乗っかりやすいもんね、としか思えないな…。
知名度で稼いでるから、この先も色々な問題に首を突っ込んでいくと思う。",
7,志は結構だが、自分達の問題にも目を背けてはならないよ。,
8,"ヘンリー王子自身が自身の強い意思として、もし本気でこの問題に取り組むつもりなら、英王室の成り立ってきた背景から考えて…爵位等々を今も保持してることを棚上げして語るのは無理があるでしょ。
もし、持ったまま断固として取り組む！というのなら帰ってきて本腰入れてこそ意義があるのでは？

お嫁さん個人に向けた愛情に端を発している活動を公にしていくのは、ヘンリー王子の身分だと弊害ありありなんですよ。どうすればいいかわかってると思うんだけどなぁ。意固地だよね(苦笑)",
9,"英王関係のすべての特権、爵位、収入を投げ捨てて
質素な住宅で夫婦二人、共に勤労に励みながらの発言ならば
評価も出来、応援もするが、
豪邸で人様にたかりながら
カメラ目線で二枚舌使ってよく言えると思う。",
10,アメリカ大統領選挙についても不用意な発言をして、エリザベス女王を怒らせたのが綺麗事なんか言ったって全く説得力ないですよ。ホントに人種差別を許さないとか強い信念があるわけじゃなくて、自己顕示に利用しているだけじゃないのか？捻くれた見方かもしれないけど、今までのこの夫婦の言動を見ていると正直そう認識せざるを得ないです。だって、奥さんの肌の色なんか全く関係なしに、結婚した事自体が大間違いだもの。この夫婦って。,
11,なんかもう、イロモノとかキワモノって感じの存在になりつつあるよね。イギリス王室にとってはとても恥ずかしい存在でしょうけど本人たちは満足そうですね。,
12,"批判覚悟・・・自分が公爵で、怖いものが無いから、そんな事を言える。
エリザベス女王や、ウィリアム王子が何も考えずに発言したことが有るか良く考えたら良い。
嫁さんもダメダメだが、本人も全くダメダメですね。",
13,好きにすればいいけど、お説を唱えたければ、まずは称号その他も返上して、パパからの援助も断って、英王室とは完全に縁を切って一民間人になってからやるのが筋ってもんでしょう。,
14,"奴隷貿易と植民地支配で巨万の富を得たのが大英帝国で、その頂点が英国王室。
人種差別（黒人）問題をやるなら、最低でも、称号、爵位などすべてを放棄して完全民間人になってからやるべきではないですか。

ただ、英国王室（＝大英帝国の富）から多大の恩恵を受けてきたヘンリー王子は、ある意味加害者側の人間ともいえるので、被害者側へ転向するのは難しいと思いますけどね。",
15,じゃ、まず、自分たちが15億円もの豪邸を出て、苦労せず得た特権を棄て、チャールズパパからの援助も受けず、一般人と同じように労働し賃金を得て、生きてみたらどうか。それから、メッセージを発信してみろよ。,
