,comment,info
0,"地上波もBSも、NHKの放送が録画も含めて無い事が今の日本の現状だ。

決勝戦だよ。優勝だよ。",url: https://news.yahoo.co.jp/articles/8e82771102cf310d9b0631449791f2bb312f3fef/comments?page=3&t=t&order=recommended
1,"白人社会の米国でこのメッセージを出せたのは凄い！
陰に陽に嫌がらせをされる危険があること知ってるはず。
凄い勇気だと思う！",comment num: 37
2,彼女が試合が終わった後コートに仰向けになりましたが、見ていて何か込み上げて来るものが有りました。彼女はプレッシャーからひととき解放された気分だったのでしょうか。怪我をおしての優勝は何にも変え難い世界へのメッセージとなりましたね。優勝おめでとうございました。,
3,"アメリカの問題と切り捨てる人が多くいるが、日本で生まれた彼女が、父親や彼女の肌の色でどれほど悲しい経験をしたのだろうかと私は想像する。

今回の彼女の行為は、政治的思考ではなく、むしろ彼女自身のこれまでの苦しみを訴え、変えていきたいという決意にも見える。",
4,色々な事が重なって起きたように思います。この試合だけに限っても、観客がいないことが大坂の精神的な切り替えにプラスに働いたかも知れません。また、虚空を見上げたのも、観客がいないスタジアムでは自然だったかも。そしてマスクでコロナとＢＬＭを結びつけて静かな問題提起をできたのも今回ならではでしょう。今回の全米では運命の星が大坂に輝きました。,
5,"マスクに名前を示す行為は、スポーツの政治的な中立の原則に照らし合わせても、ギリギリセーフな手法と思う。
あくまでマスクに示されるのは個人の名前。
自分の恋人や両親の名前を示す行為と変わらない。
そこから調べて何を感じるかは、あくまで観客の自由だから。

BLM問題に対する個人の意見表明と、スポーツの政治的な中立のバランスを考えた、良く考えられた手法では。

あと、未だマスクの着用が少ないアメリカでは、マスク着用に対するPRにもなりそう。",
6,優勝した直後に「キング」レブロン·ジェームズから祝電ツイートが入っていたね。その他に沢山の著名人からも。本人意図したかどうかは知らんけど、なおみはテニス界を声た存在になりつつある。,
7,ウエスト&サザンオープンの準決勝の危険を発表した時の問題は、無抵抗の人が7発撃たれて下半身付随になったが、射殺されてはいないでしょ。事実関係の間違いはその記事の信憑性に関わるからよく調べた方がいい。,
8,"この年でグランドスラム2勝とはもはや日本の解説者が解説できるレベルを遥かに超えていて、またいろいろな意味でますます日本人離れした遠いところへ行ってしまった感がしてならない。
明らかにゴルフの渋野選手とは違うな。",
9,"勝てなくては言えないことを、勝って言い放ったなおみに、心から敬意を表する。
間違いなく全米オープンの社会的ステータスを上げ伝説を作った。",
10,"地上波もBSも、NHKの放送が録画も含めて無い事が今の日本の現状だ。

決勝戦だよ。優勝だよ。",
11,"白人社会の米国でこのメッセージを出せたのは凄い！
陰に陽に嫌がらせをされる危険があること知ってるはず。
凄い勇気だと思う！",
12,彼女が試合が終わった後コートに仰向けになりましたが、見ていて何か込み上げて来るものが有りました。彼女はプレッシャーからひととき解放された気分だったのでしょうか。怪我をおしての優勝は何にも変え難い世界へのメッセージとなりましたね。優勝おめでとうございました。,
13,"アメリカの問題と切り捨てる人が多くいるが、日本で生まれた彼女が、父親や彼女の肌の色でどれほど悲しい経験をしたのだろうかと私は想像する。

今回の彼女の行為は、政治的思考ではなく、むしろ彼女自身のこれまでの苦しみを訴え、変えていきたいという決意にも見える。",
