,comment,info
0,"プロとして意識の低さ
スポンサーや対戦相手への配慮全てが低レベル

活動する発言する自由はもちろんある
ただプロスポーツ選手としてはそこと考えは切り離していかなければならない。
ボイコットをするのなら引退を覚悟する気持ちでするべき、今回に限らず試合は差別と関係ないのだから。

そこまで差別に対して訴えたいなら大会で優勝して
その場で訴えかければ良かった。",url: https://news.yahoo.co.jp/articles/de24555253bc1e6b3f31acceef5e9b3f647d6adc/comments?page=8&t=t&order=recommended
1,"勘違いしている人が多いけど、
大会や運営組織が差別反対のスローガンを掲げるのと、選手が大会の中で個人的に活動を行うのは別次元の話。",comment num: 88
2,"ブラック差別抗議活動よりも一部暴徒化した人達への自制心を広く発信すべきでしたね

一時は世界的レベルの日本人アスリートだと思っていたけど最近の言動はちょっと残念です",
3,"別にスポーツ選手が政治などに口出しするなとは言わないけど、SNSやプライベートで活動するならまだしも、試合に持ち込むのは違うんじゃないか？
この行為が称賛されるんなら、韓国の選手が試合で、『竹島は韓国の領土』と主張したことも称賛しなくちゃならないだろ。",
4,"抗議の意味でやってんだろーけど、色々勘違いしてる。
ドタキャンしたり何してもいい訳ではないし試合を運営する側や対戦相手に対して尊重や敬意が欠けてる気がする。
試合とは別でそーゆう活動するならいい事だけど少なからず迷惑がかかってる事に気付いた方がいい。",
5,多くの方の意見のように、自分もこの人の行動は理解出来ない。すっからアンチになりました。テニスファンは純粋に素晴しいスリリングなプレーを楽しみたいのです。どんどん行動、発言が真のアスリートからかけ離れていく感じがします。日本国籍を止めて欲しい。スポンサーもそのうち離れるだろう。,
6,"なぜ1人づつの名前が書かれたマスクをする必要があるのか？
被害者に対する想いが本当にあるのならタオル等に被害者全員の名前を書かかれたものを使用し勝った後のインタビューでそれを見せるなどした方が全然共感できる。
勝つためのモチベーションのためにというのは全く共感できない。",
7,"プロテニスプレイヤーですからテニスで生活しているし、コーチやトレーナーなども大坂選手の稼ぎから報酬を得ています。
要するに会社で言えば経営者だと言うことです。

あまり感情だけで行動すると、コーチやトレーナーもスポンサーさえも離れていく事になりかねないです。
テニスプレーヤとしては実力が備わっているのだから、慎重な行動をして欲しいと思います。",
8,"完璧な人間はいないってことさ。これが正しいと思うからやる
人には理屈ではわからないこともある。迷惑かけるより大切だから動いたんだろう。
しらんけど",
9,スタジアムは競技をする所であって個人の主張をする所ではありません！コートの外でそう言う活動をして下さい！,
10,"プロとして意識の低さ
スポンサーや対戦相手への配慮全てが低レベル

活動する発言する自由はもちろんある
ただプロスポーツ選手としてはそこと考えは切り離していかなければならない。
ボイコットをするのなら引退を覚悟する気持ちでするべき、今回に限らず試合は差別と関係ないのだから。

そこまで差別に対して訴えたいなら大会で優勝して
その場で訴えかければ良かった。",
11,"勘違いしている人が多いけど、
大会や運営組織が差別反対のスローガンを掲げるのと、選手が大会の中で個人的に活動を行うのは別次元の話。",
12,"ブラック差別抗議活動よりも一部暴徒化した人達への自制心を広く発信すべきでしたね

一時は世界的レベルの日本人アスリートだと思っていたけど最近の言動はちょっと残念です",
13,"別にスポーツ選手が政治などに口出しするなとは言わないけど、SNSやプライベートで活動するならまだしも、試合に持ち込むのは違うんじゃないか？
この行為が称賛されるんなら、韓国の選手が試合で、『竹島は韓国の領土』と主張したことも称賛しなくちゃならないだろ。",
14,"抗議の意味でやってんだろーけど、色々勘違いしてる。
ドタキャンしたり何してもいい訳ではないし試合を運営する側や対戦相手に対して尊重や敬意が欠けてる気がする。
試合とは別でそーゆう活動するならいい事だけど少なからず迷惑がかかってる事に気付いた方がいい。",
15,多くの方の意見のように、自分もこの人の行動は理解出来ない。すっからアンチになりました。テニスファンは純粋に素晴しいスリリングなプレーを楽しみたいのです。どんどん行動、発言が真のアスリートからかけ離れていく感じがします。日本国籍を止めて欲しい。スポンサーもそのうち離れるだろう。,
16,"なぜ1人づつの名前が書かれたマスクをする必要があるのか？
被害者に対する想いが本当にあるのならタオル等に被害者全員の名前を書かかれたものを使用し勝った後のインタビューでそれを見せるなどした方が全然共感できる。
勝つためのモチベーションのためにというのは全く共感できない。",
17,"プロテニスプレイヤーですからテニスで生活しているし、コーチやトレーナーなども大坂選手の稼ぎから報酬を得ています。
要するに会社で言えば経営者だと言うことです。

あまり感情だけで行動すると、コーチやトレーナーもスポンサーさえも離れていく事になりかねないです。
テニスプレーヤとしては実力が備わっているのだから、慎重な行動をして欲しいと思います。",
18,"完璧な人間はいないってことさ。これが正しいと思うからやる
人には理屈ではわからないこともある。迷惑かけるより大切だから動いたんだろう。
しらんけど",
19,スタジアムは競技をする所であって個人の主張をする所ではありません！コートの外でそう言う活動をして下さい！,
20,"こんなやり方がまかり通るようになったら
大会関係者もファンもたまらないな。",
21,"何でも好きなマスクすればいいんじゃない？
こんなものが政治発言とは全く思わない
警官に撃たれた理由も状況も全く無視して黒人が撃たれた所だけ取り上げてヒステリーを起こしてる被害者様にしか見えない",
22,"スポーツに政治を待ちこまないで欲しいな。
プライベートで活動をどうぞ。",
23,今までのどんな活動もかき消されてきた。だから今度こそ、かつてない波を作って世界を変えなければいけない。自分の全てを利用してでも世界に発信する。発信力は誰にでも有るものじゃない。世界的なスポーツの、世界でもトップクラスの選手だからこそ、やらなければいけない。当然止める人もいただろうけど、覚悟を決めて発信する彼女を、受け入れられない。受け入れられないならまだしも、受け止めずに批判する。今の日本人はこんな状態です。好きなようにやればいい。勝利を期待しています。,
24,"いくら抗議をしても、このような形では伝わらないと思います。
ただの我儘にしか見えなくて、状況を悪化させてしまうのではないでしょうか。
正当にスポーツマンとして勝利して力を見せつけ、正義を語って欲しいです。
差別が悪い方へ進んでいる事は誰が見てもわかっています、だからこそ勝利してから叫んで欲しいです。放棄とか棄権では世界中の人には伝わりません、様々なカルチャーがあるのだし、ましてや大坂なおみさんは半分日本人ですよね、この方法では反感買うだけです。ストライキや棄権と言った行為は西洋にしか通じないのではないでしょうか。大切なのは実績です、頑張って欲しいと思います。",
25,"US Openが日本の主催で開催されてるんだったら日本人感覚(コートの外でやってくれとか相手に迷惑とか)で批判しても良いですが・・・
NBAやMLBなんか普通にコート・球場内で選手が抗議を行ってるアメリカでの大会です。
対戦相手や主催者・スポンサーが迷惑？それって日本人の単なる浅はかな推測でしかないよ。
しかも意図してかそうでないかわからないけど、かなり事実と異なることが日本で伝えられ広がってるし。
オリンピックやサッカーなら政治的主張は禁止、としてるからやったらダメですが、US OpenはUSTA/ATP/WTAからして黒人差別に対する抗議メッセージを出してます。
日本の常識でそのまま批判をしている事こそ、勘違いだという事にいい加減気づいて欲しいものです。
日本人のレベルもずいぶん落ちてしまったな、と思う",
26,抗議の意味と言いつつも実際はアメリカのビッグネームに好かれたいが為のような気もする。,
27,将来的には、耳なし芳一みたいになりそう。,
28,"新型コロナウイルス対策として無観客となった客席には、「Black Lives Matter」と書かれた大きなバナーが張られており、大会側も黒人差別に抗議する姿勢を示している。

極東の地図の端っこの国で異論を匿名で書き込んでも、まったくもって、なんとかの蛙だよねぇ。",
29,韓国のサッカー選手が、竹島問題をアピールしたのと、どこが違うのだろうか…,
