,comment,info
0,冗談にもほどがある。選挙費用が間接的にでも英王室から出るようなことになれば、イギリス国民も黙っていられないだろう。,url: https://news.yahoo.co.jp/articles/0a6bfc91fadb49e283f1c2a6d400769a82378976/comments?page=35&t=t&order=recommended
1,"最終的？何十年か後にはそうしたいんだろうと思ってた。
まさか今考えるとは思わなかったけど、馬鹿だからやりかねない。

良いんじゃないかな！出馬は自由だし応援します^^
まず離婚して、当然英国の金は１銭たりとも使わない。個人資金でする。その前に借金返す。改装費だけなら、一人でも一括で返せる。1/2としてＷＤ代も払える。衣装代も返せる？

結婚式代と、カナダの警備費用も払い終わって、それから立候補したら良い！一生掛かりそうだけど、大事な使命の為だから頑張ったら良いと思う！まず離婚だ！",comment num: 
2,"だとすると英国王朝も野望への踏み台ってことか。
まあハートが強いことだけは確かですね。",
3,"アラー、本気なの？
頭大丈夫？
夫はイギリスの王子だよ。完全にイギリスとも王室とも縁を切らないと。
お金も清算して、カナダにもお返ししてからなら、まっ、ご自由に
ハリーはその横で応援演説するのかな？
あり得ない",
4,"大統領選に立候補するとはアメリカ国民も舐められたものだと思う。
メーガンは自分が大統領になってイギリス王室に来賓として謁見する姿を思い浮かべてでもいるのだろうか。被害妄想が高じて誇大妄想におちいっているのではないかと心配するレベルだ。",
5,"彼女は、自分の味方以外の人は、敵!という気がする。
人を尊重できない人が、政治家になったらダメでしょ。",
6,ならないだろうけど仮にこの自己中人が大統領になったら国から用途不明な多額のお金が次々紛失したり仕事もせず休暇にバカンス、英国では選り好み公務ばかりしてたから諸外国の要人とも会う会わないとか普通にやらかしそうだな。現に英国にきたトランプとも会わなかったし。まあ流石に立候補はないでしょ。,
7,"出馬するのにまたどれだけの経費を使うのだろうか。アメリカを潰すつもりかな？
当選する、しない以前に出馬するという思考そのものを疑いたい。ただに王室を、アメリカを貶してるようにしかみえない。",
8,"英王室の主要メンバーとして世界をリードする夢は消えた。
今度は大統領に立候補。

メーガンはいとも簡単に王子と結婚出来た。
それも王室で世界をリードするという強かな野心があったとは驚き。

元女優、王室離脱したメーガンが簡単に大統領になれるほど甘くない。",
9,"さらに世界的な笑いものになるわけですね。（アメリカ人にとって世界とはアメリカ）
ハリーはイギリスのみならずアメリカでもスーパー空気夫としての地位を確立。",
10,冗談にもほどがある。選挙費用が間接的にでも英王室から出るようなことになれば、イギリス国民も黙っていられないだろう。,
11,"最終的？何十年か後にはそうしたいんだろうと思ってた。
まさか今考えるとは思わなかったけど、馬鹿だからやりかねない。

良いんじゃないかな！出馬は自由だし応援します^^
まず離婚して、当然英国の金は１銭たりとも使わない。個人資金でする。その前に借金返す。改装費だけなら、一人でも一括で返せる。1/2としてＷＤ代も払える。衣装代も返せる？

結婚式代と、カナダの警備費用も払い終わって、それから立候補したら良い！一生掛かりそうだけど、大事な使命の為だから頑張ったら良いと思う！まず離婚だ！",
12,"だとすると英国王朝も野望への踏み台ってことか。
まあハートが強いことだけは確かですね。",
13,"アラー、本気なの？
頭大丈夫？
夫はイギリスの王子だよ。完全にイギリスとも王室とも縁を切らないと。
お金も清算して、カナダにもお返ししてからなら、まっ、ご自由に
ハリーはその横で応援演説するのかな？
あり得ない",
14,"大統領選に立候補するとはアメリカ国民も舐められたものだと思う。
メーガンは自分が大統領になってイギリス王室に来賓として謁見する姿を思い浮かべてでもいるのだろうか。被害妄想が高じて誇大妄想におちいっているのではないかと心配するレベルだ。",
15,"彼女は、自分の味方以外の人は、敵!という気がする。
人を尊重できない人が、政治家になったらダメでしょ。",
16,ならないだろうけど仮にこの自己中人が大統領になったら国から用途不明な多額のお金が次々紛失したり仕事もせず休暇にバカンス、英国では選り好み公務ばかりしてたから諸外国の要人とも会う会わないとか普通にやらかしそうだな。現に英国にきたトランプとも会わなかったし。まあ流石に立候補はないでしょ。,
17,"出馬するのにまたどれだけの経費を使うのだろうか。アメリカを潰すつもりかな？
当選する、しない以前に出馬するという思考そのものを疑いたい。ただに王室を、アメリカを貶してるようにしかみえない。",
