,comment,info
0,"彼女の運動、ようするにblmとは？
blmを支援している国は？
blmで破壊活動しているアンティファという組織がこれまで世界の国々でやってきた活動は？
アンティファを援助している大富豪は？
その大富豪の思想は？
これまで日本のマスコミは全く教えてくれません。
彼女の記事をやっと見なくなったと思えば必ずまたでてくる。
なにかが終われば記事も見なくなるということだろう。",url: https://news.yahoo.co.jp/articles/b31c3cf37ae8a5f1ca2b9f6a86b3eb186a5f75a6/comments?page=8&t=t&order=recommended
1,"耳を傾けたいが、中々厳しい。
彼女の主義主張を否定はしない。

彼女のこれまでの言動から、何だかしらけるし、勘にさわる。

コート外でやれば良かった。

日本人の肩書き、外して欲しい！
都合よく、日本を利用するな！って思う。",comment num: 90
2,"BLMについては正直まだよくわかっていないけど。
かつて、憧れの選手を破って優勝した時に嬉しいというより困惑していたシャイな大阪選手を思い出し今回は感無量だった。
わたしたちにとっては「日本で生まれてアメリカ育ちだけど日本国籍を選んでくれた」女子選手だけど、彼女はアメリカでは「日本人のお母さんに育てられた日本国籍」の選手というより「黒人」と見られていること、「ワンドロップルール」という境遇に置かれているということを知ってびっくり。これがアメリカかあ‥。
大阪選手、とても控え目な問題提起だったのは確かに日本人的で、暴力・暴言とは対極にあったと思う。
今回の記事が大阪選手のマスクについてのニュースの中で個人的には一番納得。",
3,ええカッコシイが警察官という仕事選ぶと大変なことになるのは日本でも同じこと結局　個人の問題,
4,"『実はアメリカでは、マスクを着ける、着けないということが“個人の自由”に対する考え方を意味するので、マスクによって分断が広がっているという現実があります。しかし大坂さんは、マスクによって分断を止めようとしている。』


なるほど。そういうコンセプトがあるとは知らなかった。
いろんな考え方のバックボーンを知ることで、より深く理解できた。",
5,メディアがプロパガンダのつもりで書いた記事で闇の勢力が明らかになることはよいですね。,
6,"たぶんだけど　深読みし過ぎな感じがするのは
おいらだけ？？",
7,"大坂さんに国民栄誉賞を。
政府が外交的に不都合なら、天皇陛下が勲章あげてほしい。
人種差別のない平和を願って。
彼女の純粋な心に敬意を。
駆け引きのない称賛を。",
8,"日本人の無意識な排他的思考。
求められる多様性への寛容。
考えさせられるね。",
9,ロバートキャンベル昔伊勢丹で見たけど機嫌悪そうでそっけなくて全然いいイメージない。,
10,"彼女の運動、ようするにblmとは？
blmを支援している国は？
blmで破壊活動しているアンティファという組織がこれまで世界の国々でやってきた活動は？
アンティファを援助している大富豪は？
その大富豪の思想は？
これまで日本のマスコミは全く教えてくれません。
彼女の記事をやっと見なくなったと思えば必ずまたでてくる。
なにかが終われば記事も見なくなるということだろう。",
11,"耳を傾けたいが、中々厳しい。
彼女の主義主張を否定はしない。

彼女のこれまでの言動から、何だかしらけるし、勘にさわる。

コート外でやれば良かった。

日本人の肩書き、外して欲しい！
都合よく、日本を利用するな！って思う。",
12,"BLMについては正直まだよくわかっていないけど。
かつて、憧れの選手を破って優勝した時に嬉しいというより困惑していたシャイな大阪選手を思い出し今回は感無量だった。
わたしたちにとっては「日本で生まれてアメリカ育ちだけど日本国籍を選んでくれた」女子選手だけど、彼女はアメリカでは「日本人のお母さんに育てられた日本国籍」の選手というより「黒人」と見られていること、「ワンドロップルール」という境遇に置かれているということを知ってびっくり。これがアメリカかあ‥。
大阪選手、とても控え目な問題提起だったのは確かに日本人的で、暴力・暴言とは対極にあったと思う。
今回の記事が大阪選手のマスクについてのニュースの中で個人的には一番納得。",
13,ええカッコシイが警察官という仕事選ぶと大変なことになるのは日本でも同じこと結局　個人の問題,
14,"『実はアメリカでは、マスクを着ける、着けないということが“個人の自由”に対する考え方を意味するので、マスクによって分断が広がっているという現実があります。しかし大坂さんは、マスクによって分断を止めようとしている。』


なるほど。そういうコンセプトがあるとは知らなかった。
いろんな考え方のバックボーンを知ることで、より深く理解できた。",
15,メディアがプロパガンダのつもりで書いた記事で闇の勢力が明らかになることはよいですね。,
16,"たぶんだけど　深読みし過ぎな感じがするのは
おいらだけ？？",
17,"大坂さんに国民栄誉賞を。
政府が外交的に不都合なら、天皇陛下が勲章あげてほしい。
人種差別のない平和を願って。
彼女の純粋な心に敬意を。
駆け引きのない称賛を。",
18,"日本人の無意識な排他的思考。
求められる多様性への寛容。
考えさせられるね。",
19,ロバートキャンベル昔伊勢丹で見たけど機嫌悪そうでそっけなくて全然いいイメージない。,
20,そういうことでは、全然、ないと思う。プロテニスはエンターテイメントです。その場所に出来るだけ主義主張を持ち込んで欲しくないと考えるのは、間違いですか？,
21,"BLMで本当に社会が差別のない良い社会になると思っていますか？怒りと分断が起きているのが現実ではないですか？
BLMの運動で500以上の暴動が起きて、殺人、強盗が頻発し、警察を解体させろという。では今後だれがどのように社会秩序を守りますか？ロバートキャンベルさんよ、その辺はどう答えてる気ですか？
この運動の背後にいる勢力は？この運動によって喜んでいるのは誰ですか？
マスコミがきちんと報道しないからこの運動の本質に気づかない人もいるが、日本人にはその辺りを冷静に見ている人が多いのだと思う。
彼女が日本人であるかどうかより、この運動は実は政治的であり問題が大きいから応援できません。",
22,"アメリカも日本もマスコミは、黒人差別反対を唱えていれば何でも許され支持される。

アメリカ建国から延々と続く差別の問題と、昨日今日の黒人犯罪に於ける警察の対応を悪いとこだけ引っ張り出して、デモに名を借りた暴動を看過して、支持する大阪の行動は・・・一方的だ。

しかも、大会に絡めて行う様は、理解できない。どうしても抗議したいなら大会後にすれば良い・・・マスコミを含めた社会的支持を受けられることを計算ずくでやっている様に見える。",
23,"大坂なおみは背景も、言葉も、行動も、まさに新しい時代の存在で、おそらく価値観の時計の針を進められていない人たちには一切理解が追いつかないんだと思う

ここのコメント欄でもそうだけど「何十年前から来られた方ですか？」というような人がこの国には未だにたくさんいて、そういう今や先進諸国では絶対にNGとされている考え方が未だに正しいと信じている人がこの国にはたくさん残っているんだ、残念だけど

日本でも30年、50年後であればもう少し彼女の言っていることが伝わる社会になっているのかもしれない
少なくとも政府も企業も、この国のトップはその方向に向かっているから",
24,本当に、このマスクの件について何人もの人と話す事になった。素晴らしい活動だと思う,
25,うん、なおみちゃんは立派だったと思うよ。言行一致というのかな。テニス的にはエースを取りに行く事をしなかったのが良かった。,
26,警官に撃たれて亡くなったのは前科者だったとか、BLMは暴動に発展して多くの黒人が破壊や略奪しているとか、黒人以外の命も大事だとか、物事を点でしか見られない人が多く、そういう人に限って問題の本質を知ろうとしない。大坂さんへの批判も見当違いなものや気分的なものばかりで呆れてしまう。,
27,"ほんといかれてる意見多いわ。
アメリカの黒人差別はあからさまだと思うけどね。
アジア人差別もあるが、また若干様相が違うし、アジア人差別については別途それはそれで戦うべき課題。",
28,"BLMを支持することは構わない。
しかし、暴力・略奪・破壊に触れずにBLMと言わないで欲しい。

スポーツに人権問題を持ち込んだことによって、今後大阪選手と対戦する相手はBLM支持者にも気を配る必要がある。
一部の目立ちたがり屋が相手選手になにかする可能性も。
だからスポーツに政治を持ち込まないで欲しい。",
29,"「白人が大多数のスポーツの中で会話を始める事が出来れば、正しい方向へ進むきっかけになるのではないか」

私も日本人的だな　と思ってました。
それがとても嬉しかったです。
錦織もおそらくテニス界では、辛い思いも少なからずしてるだろうな… とは思ってます。

「折り合いをつける」　なる程、そういう事なのですね。
日本人ながらキャンベルさんには色々、学ばされます。",
30,"大坂さんは純粋に黒人差別について訴えたかったのだと思う。しかし、極左暴力集団アンティファやBＬMのバックで中国共産党が資金をだして分断工作を図っている。(日本も同様の事態)
尻手か知らずか、子ともあろうに日本国内(大阪市)の上記２組織のデモに参加するよう
SNSで呼び掛けをした。
日本人がスポーツに政治を持ち込むなと言うのは、こういう背景がある。",
31,日本に住んでるので黒人さんが暴れてても関係無いから勝手に押し付けるのやめて欲しい。暴動・略奪を平気でやる人たちと折り合い付ける方法があるなら手本見せくれ。,
32,"彼女の考え方は、日本人よりも日本人的。
海外で育った日本人と米国で話したことがあるが、親の世代の日本人的だなと感じた。
彼女が自分のことを黒人女性ですと言い切ったことは、少し寂しかった。
もっと日本では、日本国籍を選んだ彼女を日本人として受け入れる土壌がなかったのかと。",
33,"“ワンドロップルール”。「一滴でも黒人の血が混じっていると、黒人と見なされる」というルールだ。

そんなルールなんですね。
BLMの運動の、デモのニュースを見るまでは、差別がそんなに根強く、米国の社会構造として、貧困から抜けられない状況とは知りませんでした。

日本にいる限り、肌の色で差別されることはまずありません。
BLMに参加している人達の心境を、日本人は心底理解出来ないと思う。
その人自身を理解しようとする前に肌の色だけで、生まれた日から、ただいるだけで侮蔑されたり、疑われたり、挙げ句の果てに殺される。
そして殺されても声もあげられないし、そのまま済まされる。 日本の警察とは、違うものとして捉えた方が良さそう。
南北戦争から150年以上経ってもなくならない差別に、湧き出た怒りや感情が、結果として運動になっている。
なおみちゃんの行動は、日本人にも考えるきっかけをくれました。",
