,comment,info
0,"土居選手、お疲れ様でした。
世界ランクの差を感じさせませんでしたね。
今後の活躍を期待します！",url: https://news.yahoo.co.jp/articles/2d99969560ed80a60960a9bfe764e75b1b29341a/comments?page=6&t=t&order=recommended
1,"対戦相手に敬意をもって試合に集中した方がいいよ
相手選手もみな良い選手なんだし、",comment num: 64
2,"この人の言動は何か軽いんだよなぁ

警官の制止を無視して起きた結果だという事がすっぽり抜けてるし
警官は黒人が何をしても手を出してはいけないという間違った考えを助長するよ？
警官だって命がけで仕事をしてる事は無視しちゃいけないと思う

それと仕事の場に持ち込むのはダメだと思うよ？
なんか流れに間違って乗ってるようにしか思えない",
3,"抗議は個人の自由、許される範囲で大いにするべきです。
でも事件の真相をみると、テレビビデオはどうみても亡くなられた方々は警官の言うことさえ聞かずに勝手な行動をとってますよね。
拳銃所持、殺人、誘拐、麻薬、レイプ、強盗、こんな犯罪が多発するアメリカの警官も用心するのは当たり前。
言うこと聞かなきゃ犯罪者で溢れアメリカは無くなる。そのための警官だ。
人種や住まいで見るのではなく、被害を受けた側も善悪で抗議するのが正しいと思う。",
4,"スポーツ選手が政治発言をするのはいいが、スポーツ競技の中に政治活動を持ち込むのはダメなんじゃないか？

確かＷＢＣだったかサッカーの方だったか、韓国人の選手が「独島は我が領土」と旗を掲げたとき政治的主張はＮＧみたいに注意されていたと思う。

黒人差別も領土問題も本人にとっては重大な政治問題なんだろうけど、試合会場に持ち込むと白ける。勝ったら悪者になるみたいで対戦する側もやりづらいと思う。",
5,"どんな政治主張をもとうが構わないが、コートの上では厳に慎むべきであろう。

対戦相手へのリスペクトに欠ける行為だ。

もはやただの活動家にしか見えない。",
6,差別問題が優先で報道され歴史ある4大メジャー大会の内容報道が少ない。それを演出してる選手、また報道するメディアの皆さん、何か勘違いしてませんかね。,
7,"表現の自由やから好きにしたらええんやけど、誰に対してやってるか分からん抗議しても誰にも響かないんじゃないか。
白人の自分のファンに向けて自分の行動を振り返って欲しいみたいなメッセージ言うなら多少効果ありそうだけど。",
8,"余りテニス以外に余計な気持ちをもって行かない方がいいんじゃない？
もともとメンタルが強力な方じゃないんだから。",
9,"スポーツを仕事にするならスポーツに関わる間は政治的な行為はやめていただきたい
差別は良くないことだが、何が正しいかなんて思想でしかないんだから",
10,"土居選手、お疲れ様でした。
世界ランクの差を感じさせませんでしたね。
今後の活躍を期待します！",
11,"対戦相手に敬意をもって試合に集中した方がいいよ
相手選手もみな良い選手なんだし、",
12,"この人の言動は何か軽いんだよなぁ

警官の制止を無視して起きた結果だという事がすっぽり抜けてるし
警官は黒人が何をしても手を出してはいけないという間違った考えを助長するよ？
警官だって命がけで仕事をしてる事は無視しちゃいけないと思う

それと仕事の場に持ち込むのはダメだと思うよ？
なんか流れに間違って乗ってるようにしか思えない",
13,"抗議は個人の自由、許される範囲で大いにするべきです。
でも事件の真相をみると、テレビビデオはどうみても亡くなられた方々は警官の言うことさえ聞かずに勝手な行動をとってますよね。
拳銃所持、殺人、誘拐、麻薬、レイプ、強盗、こんな犯罪が多発するアメリカの警官も用心するのは当たり前。
言うこと聞かなきゃ犯罪者で溢れアメリカは無くなる。そのための警官だ。
人種や住まいで見るのではなく、被害を受けた側も善悪で抗議するのが正しいと思う。",
14,"スポーツ選手が政治発言をするのはいいが、スポーツ競技の中に政治活動を持ち込むのはダメなんじゃないか？

確かＷＢＣだったかサッカーの方だったか、韓国人の選手が「独島は我が領土」と旗を掲げたとき政治的主張はＮＧみたいに注意されていたと思う。

黒人差別も領土問題も本人にとっては重大な政治問題なんだろうけど、試合会場に持ち込むと白ける。勝ったら悪者になるみたいで対戦する側もやりづらいと思う。",
15,"どんな政治主張をもとうが構わないが、コートの上では厳に慎むべきであろう。

対戦相手へのリスペクトに欠ける行為だ。

もはやただの活動家にしか見えない。",
16,差別問題が優先で報道され歴史ある4大メジャー大会の内容報道が少ない。それを演出してる選手、また報道するメディアの皆さん、何か勘違いしてませんかね。,
17,"表現の自由やから好きにしたらええんやけど、誰に対してやってるか分からん抗議しても誰にも響かないんじゃないか。
白人の自分のファンに向けて自分の行動を振り返って欲しいみたいなメッセージ言うなら多少効果ありそうだけど。",
18,"余りテニス以外に余計な気持ちをもって行かない方がいいんじゃない？
もともとメンタルが強力な方じゃないんだから。",
19,"スポーツを仕事にするならスポーツに関わる間は政治的な行為はやめていただきたい
差別は良くないことだが、何が正しいかなんて思想でしかないんだから",
20,単にアスリートとして集中出来ていない結果だね。もうグランドスラムを勝つこともなく、短い選手生命になりそうだね。,
21,"人種差別や黒人襲撃に関連付けるの可哀そう
本人の意思ならナイキ使用が矛盾しています

ナイキは中国ウイグル自治区から引っ張り出されたウイグル人が
強制労働させている関連会社と契約しています",
22,「Black Lives Matter」をさらに幅広く「All Lives Matter」すべての人種、人々は平等とは言わないのだろうか？,
23,活動家になったんだな！？もっとテニスに集中すべきだね。サイドストーリーをメディアは作りたがるけら、サラっと対応してほしい。戦うのは相手選手だから。,
24,"割と力のあるおかしなプロデューサとつるんでたりしないかな？
損はさせないのでこのようにしてと",
25,テニス、全米オープンを自分の主張の場として利用してますね,
26,"大会運営も大変だね。マスクを咎めると団体様がうるさいんだろうから。。
早くこいつが引退することを望んでるだろーよ。",
27,"もう一生遊んで暮らせるくらい稼いだからなんでもありやな
抗議してる私かっこいい！くらいの次元なんだろうな",
28,スポーツの場に政治を持ち込むのは感心しません。,
29,全種類使うことが出来ればいいですね,
30,プロならプレーで主張しろ。,
31,試合に集中した方がいいんじゃない？？また、癇癪回すでしょ？,
32,"スポーツに持ち込んだらダメやん
すっかり応援する気も失せた",
33,どうでも勝手にして。どうせ見ないし。,
34,次戦の相手はなかなかやりにくそうな選手。今日の第1セットのようなキレキレのなおみちゃんが戻ると言う事なし。疲れを回復させてください。次も応援します なおみちゃん！,
35,"黒人しか味方をしないのか︎
先日BLMに射殺された白人への配慮は皆無。
その黒人が本当に差別の結果殺害されたのならわかる 。
理由はどうあれ黒人は擁護されるという逆差別の風潮を広げるだけではなかろうか。
黒人に有利に働く行動をとりあえずやってる。
黒人以外からしたら不快極まりない。
スポーツなんだから人種や政治関係なく努力の成果を競ってほしい。",
36,大阪なおみを差別にする様な聞こえ方かもだけど、自分中心でスポーツマンシップが全く足りていない。人種差別に抗議するのは当たり前。試合のボイコットしても規模が小さくて幼稚すぎる。試合は試合で結果を出してから何らかの抗議なら分かるけど、もう大阪なおみを見たくなくなった。テニス界から消えてほしい。早く日本人の可愛い綺麗な純粋種に登場してもらいたい。,
37,"人種差別への抗議？
強奪や意見の合わない人を殺したりしてる
BLMと言う暴徒を正当化してるだけでは？
違うと言うなら「全ての命が大切」と言い、
幼い子供を残してBLMに殺された
ジェシカ（白人）さんのマスクもあるんですよね？",
38,"黒人が白人を殺したら同じような活動をしてくれるんだろうな。
白人が黒人を殺しことには抗議するのに逆は活動しない。はそれも人種差別。",
39,"「Black Lives Matter」
↑
支持します。
米国に定着している人種差別とは、時間をかけての長い戦いです。
アスリートである前に人間であることは現代人として当然の常識でしょう。
大坂なおみ選手の素晴らしい高尚な思考と行動に最大限の敬意を払いたいものです。",
40,"スポーツパースンも
政治思想や信条を持つべきだ。
自身の思いが有るのなら
それも込めて戦って欲しい。

ヤフコメ民の如きが
一流アスリートに指示なんてできない。",
41,"正しくは「米国における黒人差別」ですよね
他の人種に対する差別はこの人はさほど気にしてませんよね",
42,"警官の言うことを聞かずに、車に乗らせてたqら、警官はひき殺されてたかもよ。
そもそも暴力ふるって警官呼ばれたんでしょ。以前殺された黒人の前科や、黒人の略奪についても言及してほしいな",
43,"どうせやるなら　中国共産党の香港やウィグルへの人権侵害も取り上げれば
あ～本気なんだなって思われるかもよ",
44,このかた日本人じゃないです。　考え方が米国人ですからね！,
45,"白人の人が被害にあったんですが同じようにマスク作るんですか？
黒人は抗議して白人被害は無視ですか？

１番差別してるのはあなたではないのですか？",
46,誰でもいいから大坂に勝ってくれ。,
47,"この人を日本のニュースで取り上げないで欲しい
見てて不愉快",
48,おいおい！ナチグロン大阪なおみさん！こないだ黒人に撃たれても亡くなった白人の事も言ってあげて下さい！,
49,黒い英雄気取りか?この黒人が出てる商品は買わない!,
50,テニスしてないで抗議に参加してきたらいいのに,
51,大坂なおみってこんな人だったんだね。,
52,射殺された白人の名前は入れないんですかぁ,
53,黒人至上主義者？,
54,"散らかすな～。
スポーツマンシップとしても疑問。
日本人としても迷惑だなぁ。
日本は黒人奴隷の歴史は無いから。
このBLMは何をもって着地するのだろう。",
55,・・・ヒマなの？,
56,All of shows are for money. Hypocrisy guy.,
57,"ネットウヨとか気にせず頑張って欲しい！
アメリカ！日本！ハイチの誇り！
大坂なおみさんには！",
