,comment,info
0,"子供が「僕誰も知らないすごいことに気づいちゃったんだ！！」と、いかにもすごそうに講釈してくれる時って上から目線感出るよねーと思いながら記事を読みました。もちろんそれは大人から見たらごく普通に知ってるレベルの話で、だから大人からは微笑ましく見えるのですが……。

サセックス公爵は子供ではありませんし王室にいらした方なので、子供がやったら微笑ましいことでも微笑ましい要素はなくなりますね。",url: https://news.yahoo.co.jp/articles/3b8e356deffc9ddeac805e9cfce5d83ceb7ea449/comments?page=6&t=t&order=recommended
1,"昔からおつむの軽いところは指摘されてたけど、物言いまで軽くなっちゃいましたね
人種差別問題はそれこそ建国前から存在するデリケートなもの、決して「時流に乗って」アピールするものではありませんし、きっちりと腰を据えて取り掛かるべきものです
嫁の口車に乗って言ってるんでしょうけど、当事者になる覚悟は本当にあるんでしょうか？",comment num: 66
2,"ハリーが語っている事はメーガンからの受け売りに過ぎないが、それを英国王子の立場を有したまま発言する事が問題なのを理解してないのだろう。
そもそもハリー自身がほんとにこの問題に関心があるのかも疑問。メーガンの意向に沿うことでメーガンに気に入られたいだけのような気がする。",
3,"声を上げ、本当に人種差別という深く思いそしてこのデリケートな問題に自分の命をかけて戦うというなら、本気だというならいいんだろうけど・・・果たして・・本気なんだろうか？
自分の全てをささげてでも、救いたいと思っているなら良いけど・・・中途半端な正義感は、どちら側の人からも恨まれ、憎まれる結果になると思うけど・・・
大丈夫なんだろうか・・・・
何故、普通の生活がしたいといいながら、こんなに前面にでてくるんだろう・・・・
不思議で仕方ない。",
4,"ヘンリー王子は以前からこのような話し方でしたか？何だかアメリカに染まった変な発音。軍にいた為、王宮の英語ではなくウィリアム王子とも違うのですか？
内容というより発音にショック…少しベッカム化した音に思えます。",
5,"前々から夫婦のコメントは上から目線を言われていた。
ハリーはメーガンの論調を模倣しているのだから、そうなるのは当たり前。
母親が黒人だからと言って、今起こっている問題に乗っかって世の中に名を売ろうとするから、可笑しくなるんだよね。
過去の歴史や黒人に限らず有色人種への扱い等を含めて意見や活動をしないといけないと思う。
二人は過去、現在の著名な活動家の言葉を拝借して
いるだけなんだよね。
要は人権問題をアクセサリーかまたはビジネスツールに利用して自分が目立とうとする野心？があるから複雑になると思う。",
6,"所詮は差別や貧困を知らずにきた王子が語る内容ってことなのでは？
どうしたって一般人の、それも差別を受けてきた人や貧困を経験した人の立場で考えることはできないでしょう。
そのうえ影響を与えてるのはメーガン、この人の経験したことだって偏ってる。
ヘンリーの言葉に重みはないのに、その立場から騒動にはなりかねない。
そういう中途半端な立場であることを自覚した方がいいですね。",
7,"何様テンション上げ放題に上げっぱなしの嫁のマネして得意になってるんだろうけど、ヘンリー王子って、ホントにホントに本当に、自分の立場で言っちゃいけないことがわかってないのね。
今まで考えたことすらなかった問題だろうに。
ここまでアタマからっぽとは思わなかったわ。",
8,"『この流れに今すぐ乗るべき』
これ、メーガンが自宅で年中言ってるセリフなんでしょうね。
「今はこの運動が盛んで注目を集めてるわ！この流れに今すぐ乗らなきゃ！！」って。

夫婦は似てくると申しますが、そんなメーガンの口癖がポロリと公の場で出ちゃったんだろうね、ハリー。
元々パクリ名人のメーガンの、更にパクリだから、上から目線でも説得力ゼロだよ、ハリー。",
9,未成年の時にはナチスの扮装をして叱られ、大人になって軍で働いてある時には、人種差別用語で同僚を呼んいたヘンリーなんかに、他人に人種差別について説教する資格なんて無い。,
10,"子供が「僕誰も知らないすごいことに気づいちゃったんだ！！」と、いかにもすごそうに講釈してくれる時って上から目線感出るよねーと思いながら記事を読みました。もちろんそれは大人から見たらごく普通に知ってるレベルの話で、だから大人からは微笑ましく見えるのですが……。

サセックス公爵は子供ではありませんし王室にいらした方なので、子供がやったら微笑ましいことでも微笑ましい要素はなくなりますね。",
11,"昔からおつむの軽いところは指摘されてたけど、物言いまで軽くなっちゃいましたね
人種差別問題はそれこそ建国前から存在するデリケートなもの、決して「時流に乗って」アピールするものではありませんし、きっちりと腰を据えて取り掛かるべきものです
嫁の口車に乗って言ってるんでしょうけど、当事者になる覚悟は本当にあるんでしょうか？",
12,"ハリーが語っている事はメーガンからの受け売りに過ぎないが、それを英国王子の立場を有したまま発言する事が問題なのを理解してないのだろう。
そもそもハリー自身がほんとにこの問題に関心があるのかも疑問。メーガンの意向に沿うことでメーガンに気に入られたいだけのような気がする。",
13,"声を上げ、本当に人種差別という深く思いそしてこのデリケートな問題に自分の命をかけて戦うというなら、本気だというならいいんだろうけど・・・果たして・・本気なんだろうか？
自分の全てをささげてでも、救いたいと思っているなら良いけど・・・中途半端な正義感は、どちら側の人からも恨まれ、憎まれる結果になると思うけど・・・
大丈夫なんだろうか・・・・
何故、普通の生活がしたいといいながら、こんなに前面にでてくるんだろう・・・・
不思議で仕方ない。",
