,title,url
0,ヘルプ,https://www.yahoo-help.jp/app/home/service/news/
1,ランキング,https://news.yahoo.co.jp/ranking/access/news
2,,https://hazard.yahoo.co.jp/article/20200207#thirdwave
3,もっと見る,https://news.yahoo.co.jp/media/bunshuns/micropayment
4,もっと見る,https://news.yahoo.co.jp/media/baseballos/micropayment
5,もっと見る,https://news.yahoo.co.jp/media/qbizs/micropayment
6,もっと見る,https://news.yahoo.co.jp/media/nkgendais/micropayment
7,もっと見る,https://news.yahoo.co.jp/media/nissyokus/micropayment
8,もっと見る,https://news.yahoo.co.jp/media/shinchos/micropayment
9,もっと見る,https://news.yahoo.co.jp/media/webtoos/micropayment
10,もっと見る,https://news.yahoo.co.jp/media/gonlines/micropayment
11,もっと見る,https://news.yahoo.co.jp/media/wwdjapans/micropayment
12,もっと見る,https://news.yahoo.co.jp/media/stoyos/micropayment
13,もっと見る,https://news.yahoo.co.jp/media/jprimes/micropayment
14,もっと見る,https://news.yahoo.co.jp/media/sdigestws/micropayment
15,もっと見る,https://news.yahoo.co.jp/media/nishispos/micropayment
16,もっと見る,https://news.yahoo.co.jp/media/rallyss/micropayment
17,もっと見る,https://news.yahoo.co.jp/media/footballcs/micropayment
18,もっと見る,https://news.yahoo.co.jp/media/nishinps/micropayment
19,もっと見る,https://news.yahoo.co.jp/media/wcartops/micropayment
20,もっと見る,https://news.yahoo.co.jp/media/wordleafks/micropayment
21,もっと見る,https://news.yahoo.co.jp/media/gendaibizs/micropayment
22,ヘルプページ,https://support.yahoo-net.jp/PccNews/s/article/H000011243
23,ランキング,https://headlines.yahoo.co.jp/ranking/access/news
24,25ansウエディング,https://news.yahoo.co.jp/media/vingtcinqw
25,25ansオンライン,https://news.yahoo.co.jp/media/vingtcinq
26,2.5ジゲン！！,https://news.yahoo.co.jp/media/ntgjigen
27,36Kr Japan,https://news.yahoo.co.jp/media/krjapan
28,47NEWS,https://news.yahoo.co.jp/media/yonnana
29,4years.,https://news.yahoo.co.jp/media/fyears
30,ABCニュース,https://news.yahoo.co.jp/media/asahibc
31,ABEMA TIMES,https://news.yahoo.co.jp/media/abema
32,ABS秋田放送,https://news.yahoo.co.jp/media/absakita
33,AERA dot.,https://news.yahoo.co.jp/media/sasahi
34,AERA STYLE MAGAZINE,https://news.yahoo.co.jp/media/asmasahi
35,AFPBB News,https://news.yahoo.co.jp/media/afpbbnewsv
36,AFPBB News 写真特集,https://news.yahoo.co.jp/media/afpbbnewsp
37,ＡＦＰ＝時事,https://news.yahoo.co.jp/media/jij_afp
38,All About,https://news.yahoo.co.jp/media/nallabout
39,ALL REVIEWS,https://news.yahoo.co.jp/media/allreview
40,AMP［アンプ］,https://news.yahoo.co.jp/media/ampreview
41,ananweb,https://news.yahoo.co.jp/media/ananweb
42,AP通信,https://news.yahoo.co.jp/media/aptsushinv
43,AUTOCAR JAPAN,https://news.yahoo.co.jp/media/autocar
44,Auto Messe Web,https://news.yahoo.co.jp/media/amweb
45,Aviation Wire,https://news.yahoo.co.jp/media/awire
46,BARKS,https://news.yahoo.co.jp/media/bark
47,Baseball Geeks,https://news.yahoo.co.jp/media/geeksv
48,BBC News,https://news.yahoo.co.jp/media/bbc
49,BBCびわ湖放送,https://news.yahoo.co.jp/media/bbcbiwakov
50,BBM Sports,https://news.yahoo.co.jp/media/bbmv
51,BCN,https://news.yahoo.co.jp/media/bcn
52,ＢＥＳＴ ＴＩＭＥＳ,https://news.yahoo.co.jp/media/besttimes
53,Billboard JAPAN,https://news.yahoo.co.jp/media/exp
54,bizSPA！フレッシュ,https://news.yahoo.co.jp/media/bizspa
55,Bloomberg,https://news.yahoo.co.jp/media/bloom_cn
56,Book Bang,https://news.yahoo.co.jp/media/bookbang
57,BOOKSTAND,https://news.yahoo.co.jp/media/webhon
58,ＢＳＮ新潟放送,https://news.yahoo.co.jp/media/ohbsn
59,BUSINESS INSIDER JAPAN,https://news.yahoo.co.jp/media/binsider
60,BuzzFeed Japan,https://news.yahoo.co.jp/media/bfj
61,CanCam.jp,https://news.yahoo.co.jp/media/cancam
62,CAPA CAMERA WEB,https://news.yahoo.co.jp/media/capa
63,carview！,https://news.yahoo.co.jp/media/carv
64,Casa BRUTUS.com,https://news.yahoo.co.jp/media/casabrutus
65,CBCテレビ,https://news.yahoo.co.jp/media/cbc
66,CDジャーナル,https://news.yahoo.co.jp/media/cdj
67,CGWORLD.jp,https://news.yahoo.co.jp/media/cgworld
68,cinemacafe.net,https://news.yahoo.co.jp/media/cine
69,CINEMORE,https://news.yahoo.co.jp/media/cinemore
70,CINRA.NET,https://news.yahoo.co.jp/media/cinranet
71,CNA秋田ケーブルテレビ,https://news.yahoo.co.jp/media/cnaakita
72,CNET Japan,https://news.yahoo.co.jp/media/cnetj
73,CNN.co.jp,https://news.yahoo.co.jp/media/cnn
74,CNS（China News Service）,https://news.yahoo.co.jp/media/clc_cns
75,CoinDesk Japan,https://news.yahoo.co.jp/media/coindesk
76,CREA WEB,https://news.yahoo.co.jp/media/creaweb
77,CYCLE SPORTS.jp,https://news.yahoo.co.jp/media/cyclespo
78,Cyclist,https://news.yahoo.co.jp/media/cyclist
79,Daiichi-TV（静岡第一テレビ）,https://news.yahoo.co.jp/media/sdt
80,dancyu,https://news.yahoo.co.jp/media/dancyu
81,DIAMONDハーバード・ビジネス・レビュー,https://news.yahoo.co.jp/media/dhbr
82,DIGIDAY［日本版］,https://news.yahoo.co.jp/media/digiday
83,eat愛媛朝日テレビ,https://news.yahoo.co.jp/media/eat
84,EDN Japan,https://news.yahoo.co.jp/media/it_edn
85,EdTechZine,https://news.yahoo.co.jp/media/sh_ed
86,EE Times Japan,https://news.yahoo.co.jp/media/it_eetimes
87,ELLEgirl,https://news.yahoo.co.jp/media/ellegirl
88,ELLE ONLINE,https://news.yahoo.co.jp/media/elleonline
89,ENCOUNT,https://news.yahoo.co.jp/media/encount
90,Engadget 日本版,https://news.yahoo.co.jp/media/engadgetj
91,ENGINE WEB,https://news.yahoo.co.jp/media/clc_eng
92,ESSE-online,https://news.yahoo.co.jp/media/esse
93,E-TALENTBANK,https://news.yahoo.co.jp/media/etalent
94,FASHION BOX,https://news.yahoo.co.jp/media/fbox
95,FASHIONSNAP.COM,https://news.yahoo.co.jp/media/fashions
96,Fav-Log by ITmedia,https://news.yahoo.co.jp/media/it_favlog
97,FBC 福井放送,https://news.yahoo.co.jp/media/fbc
